meet_ID,group_ID,host_ID,meet_name,start_time,end_time
32,8936,R10527210,實作方法,2023/10/23 16:00,2023/10/23 17:00
33,17633,B11401102,報告主題,2023/10/23 17:00,2023/10/23 18:00
34,17916,B07A08015,實驗結果,2023/10/27 18:30,2023/10/27 20:30
35,7426,B11501010,工作分配,2023/11/13 10:30,2023/11/13 11:30
36,15868,R10541057,實驗結果,2023/10/22 17:00,2023/10/22 19:00
37,10944,D10621056,完成報告書,2023/10/8 10:30,2023/10/8 12:30
38,8199,B09608003,實作方法,2023/12/10 11:00,2023/12/10 12:00
39,15853,B11701011,實驗結果,2023/11/27 10:30,2023/11/27 11:30
40,5970,B10603012,實驗結果,2023/9/11 10:00,2023/9/11 11:00
41,8649,R10325007,完成報告書,2023/9/6 13:30,2023/9/6 14:30
42,18001,B10105033,工作分配,2023/9/22 13:00,2023/9/22 15:00
43,9827,B07402014,完成報告書,2023/9/27 11:30,2023/9/27 12:30
44,9678,B11902010,實作方法,2023/11/12 22:00,2023/11/13 00:00
45,2592,R11120027,完成報告書,2023/9/8 09:30,2023/9/8 10:30
46,11902,B11101072,實作方法,2023/9/23 09:00,2023/9/23 10:00
47,20139,B08602261,實作方法,2023/9/15 15:00,2023/9/15 16:00
48,3828,B10405020,完成報告書,2023/9/17 18:30,2023/9/17 19:30
49,9528,R10541056,完成報告書,2023/10/11 23:00,2023/10/12 00:00
50,8764,R10541057,完成報告書,2023/11/26 09:30,2023/11/26 10:30
51,9916,B11705034,工作分配,2023/10/20 23:00,2023/10/21 01:00
52,10685,B09501330,完成報告書,2023/11/20 20:30,2023/11/20 21:30
53,10977,R11521101,報告主題,2023/10/30 13:00,2023/10/30 15:00
54,10215,B09202150,實驗結果,2023/12/11 20:00,2023/12/11 22:00
55,1229,B10405004,工作分配,2023/10/8 13:30,2023/10/8 14:30
56,7584,B10603009,報告主題,2023/10/11 18:00,2023/10/11 19:00
57,14152,R10B42025,完成報告書,2023/11/4 23:30,2023/11/5 00:30
58,18131,F10941045,實作方法,2023/10/21 22:30,2023/10/21 23:30
59,1449,B08902010,報告主題,2023/10/13 12:00,2023/10/13 14:00
60,17389,B10A05036,工作分配,2023/10/28 14:30,2023/10/28 16:30
61,5487,B10102106,報告主題,2023/11/29 11:00,2023/11/29 13:00
62,9250,R09627030,實驗結果,2023/9/11 13:00,2023/9/11 15:00
63,12820,B10A04012,實作方法,2023/11/4 11:00,2023/11/4 13:00
64,2209,B11H04049,工作分配,2023/9/26 11:00,2023/9/26 13:00
65,20111,B08708024,報告主題,2023/12/12 12:00,2023/12/12 13:00
66,15694,B11611120,工作分配,2023/9/28 18:00,2023/9/28 19:00
67,10685,B11301066,報告主題,2023/10/4 09:30,2023/10/4 10:30
68,4130,B10703150,工作分配,2023/11/26 12:30,2023/11/26 14:30
69,10344,R11647210,報告主題,2023/11/4 10:00,2023/11/4 11:00
70,13613,B08505004,完成報告書,2023/11/4 23:30,2023/11/5 00:30
71,8752,R11225004,工作分配,2023/10/30 23:30,2023/10/31 00:30
72,1856,R10242115,實作方法,2023/10/26 14:30,2023/10/26 15:30
73,11632,R10928053,完成報告書,2023/11/6 10:00,2023/11/6 11:00
74,4261,B10302005,工作分配,2023/10/1 09:00,2023/10/1 11:00
75,11279,B10506033,報告主題,2023/9/18 11:00,2023/9/18 13:00
76,4857,B10203050,工作分配,2023/10/12 13:30,2023/10/12 14:30
77,1956,R11A21101,實驗結果,2023/10/8 10:30,2023/10/8 12:30
78,17801,B10301001,實作方法,2023/9/13 21:30,2023/9/13 23:30
79,3752,R10622045,完成報告書,2023/10/26 11:00,2023/10/26 13:00
80,16412,B11708056,報告主題,2023/9/20 11:30,2023/9/20 12:30
81,19011,B09A05007,報告主題,2023/10/15 21:00,2023/10/15 22:00
82,3355,B11201070,工作分配,2023/9/21 12:30,2023/9/21 14:30
83,16145,B06402106,完成報告書,2023/9/8 09:30,2023/9/8 10:30
84,16796,B09802302,實驗結果,2023/9/10 16:00,2023/9/10 17:00
85,14504,B10701011,實驗結果,2023/10/24 20:00,2023/10/24 22:00
86,15636,B11401204,完成報告書,2023/10/3 10:30,2023/10/3 11:30
87,13717,B08501346,報告主題,2023/12/3 10:30,2023/12/3 12:30
88,20441,R10A23065,實驗結果,2023/10/2 10:00,2023/10/2 11:00
89,7701,R10246005,實驗結果,2023/11/28 13:30,2023/11/28 15:30
90,4418,B10301109,報告主題,2023/9/19 10:30,2023/9/19 12:30
91,13523,B09902605,實驗結果,2023/9/17 17:00,2023/9/17 19:00
92,3479,B11501003,實作方法,2023/10/17 11:30,2023/10/17 13:30
93,14876,B09702824,實驗結果,2023/10/3 13:00,2023/10/3 15:00
94,150,B10401259,實作方法,2023/11/22 13:30,2023/11/22 14:30
95,17781,B09306044,實作方法,2023/9/5 10:00,2023/9/5 12:00
96,9459,R10445024,完成報告書,2023/11/21 09:30,2023/11/21 10:30
97,16902,B10200011,實驗結果,2023/11/30 13:30,2023/11/30 15:30
98,17620,B11401102,完成報告書,2023/11/22 15:30,2023/11/22 17:30
99,13617,B09102006,報告主題,2023/11/1 12:00,2023/11/1 13:00
100,5429,B10702087,工作分配,2023/10/5 12:00,2023/10/5 14:00
101,13619,R11642339,實作方法,2023/10/4 10:30,2023/10/4 12:30
102,19216,R11941347,工作分配,2023/10/11 10:30,2023/10/11 11:30
103,19531,B11301046,完成報告書,2023/11/27 22:30,2023/11/27 23:30
104,11333,B11504034,報告主題,2023/11/18 13:30,2023/11/18 15:30
105,14105,B10708037,工作分配,2023/11/23 10:30,2023/11/23 12:30
106,20156,B08207039,報告主題,2023/9/6 22:00,2023/9/6 23:00
107,5720,B11407039,報告主題,2023/12/2 12:00,2023/12/2 14:00
108,21337,B10403008,報告主題,2023/9/11 12:30,2023/9/11 14:30
109,7057,B10402084,實驗結果,2023/10/21 18:00,2023/10/21 20:00
110,14361,B09709021,實驗結果,2023/9/25 11:00,2023/9/25 12:00
111,11713,B11H09011,實驗結果,2023/10/8 12:30,2023/10/8 14:30
112,15675,B08A01049,完成報告書,2023/12/6 18:00,2023/12/6 20:00
113,17463,B06407019,實作方法,2023/11/13 10:30,2023/11/13 11:30
114,493,B10702009,完成報告書,2023/11/20 14:00,2023/11/20 15:00
115,4945,B11402170,完成報告書,2023/11/29 12:30,2023/11/29 13:30
116,16283,B10901047,工作分配,2023/9/29 13:30,2023/9/29 15:30
117,5197,B11401042,工作分配,2023/10/28 10:00,2023/10/28 12:00
118,9986,B09502004,實作方法,2023/11/15 12:30,2023/11/15 13:30
119,20554,B12111012,工作分配,2023/12/9 20:30,2023/12/9 21:30
120,5448,R10945004,工作分配,2023/9/7 10:00,2023/9/7 12:00
121,16441,R11122016,工作分配,2023/10/25 14:00,2023/10/25 15:00
122,15828,B11104013,實作方法,2023/10/10 22:00,2023/10/10 23:00
123,20944,B10201046,實作方法,2023/12/7 13:00,2023/12/7 15:00
124,2485,B10305026,實作方法,2023/11/19 16:30,2023/11/19 18:30
125,11497,B10402011,工作分配,2023/11/22 10:30,2023/11/22 12:30
126,11335,B11901020,實驗結果,2023/10/31 09:30,2023/10/31 10:30
127,3725,B09702021,完成報告書,2023/11/25 11:00,2023/11/25 13:00
128,20541,B09503008,完成報告書,2023/9/8 21:30,2023/9/8 23:30
129,16178,B11703039,工作分配,2023/11/6 09:30,2023/11/6 11:30
130,20622,B10903003,報告主題,2023/12/11 21:00,2023/12/11 22:00
131,19444,B11401120,工作分配,2023/10/31 12:00,2023/10/31 14:00
132,16242,T11309019,實驗結果,2023/11/28 12:30,2023/11/28 14:30
133,14046,B11H07030,完成報告書,2023/10/12 18:00,2023/10/12 19:00
134,15702,B08201026,報告主題,2023/10/20 10:30,2023/10/20 12:30
135,11051,B09401053,工作分配,2023/10/28 13:00,2023/10/28 14:00
136,12838,R11253022,工作分配,2023/9/21 11:00,2023/9/21 13:00
137,15282,R11641001,實驗結果,2023/9/18 23:00,2023/9/19 00:00
138,15420,B10208015,實作方法,2023/12/7 12:30,2023/12/7 13:30
139,19710,B09503042,報告主題,2023/10/13 21:00,2023/10/13 22:00
140,17042,R10925026,完成報告書,2023/10/7 11:30,2023/10/7 12:30
141,16360,B11401010,實作方法,2023/11/16 12:00,2023/11/16 14:00
142,8252,B11202043,實驗結果,2023/10/18 16:00,2023/10/18 18:00
143,5442,B10A04047,完成報告書,2023/11/2 11:00,2023/11/2 12:00
144,3342,B11303010,實驗結果,2023/11/4 17:00,2023/11/4 18:00
145,1524,R10441A01,報告主題,2023/10/4 10:00,2023/10/4 12:00
146,19656,B08605015,報告主題,2023/11/30 22:30,2023/11/30 23:30
147,15843,B09302043,實作方法,2023/10/24 11:00,2023/10/24 13:00
148,11161,B09901047,報告主題,2023/9/17 21:30,2023/9/17 22:30
149,13219,B09601013,報告主題,2023/9/20 09:30,2023/9/20 11:30
150,14148,R11259015,實驗結果,2023/11/26 09:00,2023/11/26 11:00
151,9901,B10804016,完成報告書,2023/9/29 17:30,2023/9/29 19:30
152,11054,B09611043,工作分配,2023/11/30 16:00,2023/11/30 17:00
153,819,B08704025,實作方法,2023/10/14 09:00,2023/10/14 11:00
154,5465,B09604003,實驗結果,2023/11/29 11:30,2023/11/29 12:30
155,17053,B10104038,工作分配,2023/11/29 09:00,2023/11/29 10:00
156,8773,R07223142,完成報告書,2023/10/10 13:00,2023/10/10 14:00
157,12020,B10700047,實驗結果,2023/11/29 22:30,2023/11/30 00:30
158,14378,B08903118,實驗結果,2023/9/16 11:00,2023/9/16 13:00
159,20325,B09401016,完成報告書,2023/11/26 09:00,2023/11/26 11:00
160,17309,B10101006,報告主題,2023/11/27 11:00,2023/11/27 13:00
161,13959,B10902010,工作分配,2023/9/29 09:00,2023/9/29 10:00
162,247,R11625016,完成報告書,2023/12/5 13:00,2023/12/5 14:00
163,18379,B09A02025,報告主題,2023/12/5 09:00,2023/12/5 10:00
164,6261,B09303116,工作分配,2023/12/1 11:00,2023/12/1 13:00
165,2897,R11624035,完成報告書,2023/11/26 12:30,2023/11/26 14:30
166,16705,B10A01004,工作分配,2023/9/20 11:30,2023/9/20 13:30
167,2371,B10507013,完成報告書,2023/11/19 09:00,2023/11/19 10:00
168,6755,R10228004,完成報告書,2023/9/13 09:00,2023/9/13 10:00
169,1112,B10203006,報告主題,2023/12/8 18:30,2023/12/8 19:30
170,2308,B11703044,實作方法,2023/9/4 20:30,2023/9/4 22:30
171,20764,B06203050,報告主題,2023/9/22 10:00,2023/9/22 12:00
172,19111,B11707030,報告主題,2023/9/23 21:00,2023/9/23 22:00
173,7562,B11108004,工作分配,2023/9/8 13:00,2023/9/8 15:00
174,20718,B10A07033,工作分配,2023/11/17 10:30,2023/11/17 12:30
175,12137,B11905036,報告主題,2023/11/6 13:30,2023/11/6 15:30
176,4240,B11505003,工作分配,2023/11/14 13:00,2023/11/14 14:00
177,11205,B11408023,報告主題,2023/9/4 16:00,2023/9/4 17:00
178,20658,R11947039,工作分配,2023/10/23 11:30,2023/10/23 12:30
179,20460,B11701159,工作分配,2023/11/2 10:00,2023/11/2 11:00
180,3638,B09106041,實驗結果,2023/10/16 23:30,2023/10/17 01:30
181,17098,B11H06020,實作方法,2023/11/25 09:30,2023/11/25 10:30
182,18397,R11644047,報告主題,2023/11/23 19:30,2023/11/23 21:30
183,16503,B09405009,工作分配,2023/11/28 22:30,2023/11/28 23:30
184,11855,R11525035,報告主題,2023/10/22 13:00,2023/10/22 14:00
185,2438,R10725009,工作分配,2023/10/16 16:00,2023/10/16 18:00
186,4949,B11203042,實驗結果,2023/12/7 23:30,2023/12/8 01:30
187,1455,R10644035,報告主題,2023/11/16 11:00,2023/11/16 12:00
188,9319,B10201044,工作分配,2023/9/21 23:30,2023/9/22 00:30
189,4136,R10621204,報告主題,2023/10/13 18:30,2023/10/13 19:30
190,17010,B09A01014,報告主題,2023/11/1 13:00,2023/11/1 14:00
191,16053,B11601091,實作方法,2023/9/20 11:30,2023/9/20 12:30
192,11541,R11A21098,工作分配,2023/11/5 18:00,2023/11/5 19:00
193,17062,B10701004,報告主題,2023/9/8 13:30,2023/9/8 15:30
194,13906,B09408015,完成報告書,2023/10/5 14:30,2023/10/5 15:30
195,13239,B11503142,工作分配,2023/10/18 13:30,2023/10/18 15:30
196,1132,R11A22001,工作分配,2023/11/16 17:30,2023/11/16 19:30
197,4667,B11608056,完成報告書,2023/9/7 23:30,2023/9/8 00:30
198,66,B11705034,完成報告書,2023/9/23 13:00,2023/9/23 14:00
199,7450,B10502001,實作方法,2023/11/18 22:30,2023/11/18 23:30
200,12791,B09609080,實作方法,2023/9/11 10:00,2023/9/11 12:00
201,11261,B10301168,報告主題,2023/10/22 16:00,2023/10/22 17:00
202,12389,B11402055,實作方法,2023/12/4 09:00,2023/12/4 11:00
203,17160,B11702125,報告主題,2023/11/30 12:30,2023/11/30 13:30
204,20973,R10728024,完成報告書,2023/10/22 12:30,2023/10/22 14:30
205,20844,B10601041,實作方法,2023/9/8 12:00,2023/9/8 14:00
206,6682,B09802070,完成報告書,2023/9/28 12:00,2023/9/28 14:00
207,2773,B11603045,報告主題,2023/10/1 13:00,2023/10/1 15:00
208,16571,B08504038,實作方法,2023/10/29 10:00,2023/10/29 11:00
209,9592,B11401042,完成報告書,2023/11/25 13:30,2023/11/25 14:30
210,17119,B10503035,報告主題,2023/12/4 16:30,2023/12/4 18:30
211,4469,B10301165,實作方法,2023/11/4 20:30,2023/11/4 21:30
212,17211,B11405039,報告主題,2023/9/21 18:00,2023/9/21 19:00
213,6634,B11201079,實作方法,2023/9/22 12:30,2023/9/22 13:30
214,21342,B10503077,實作方法,2023/10/6 09:30,2023/10/6 11:30
215,2108,B11402021,完成報告書,2023/11/25 15:00,2023/11/25 16:00
216,10886,B09501239,實作方法,2023/11/5 16:30,2023/11/5 18:30
217,12557,B10103045,實作方法,2023/9/18 12:00,2023/9/18 14:00
218,20439,B11602004,實作方法,2023/11/14 10:30,2023/11/14 12:30
219,13311,B09704011,實作方法,2023/10/27 12:30,2023/10/27 13:30
220,9170,R11942011,工作分配,2023/9/27 19:00,2023/9/27 21:00
221,8794,R11941239,工作分配,2023/10/28 20:00,2023/10/28 21:00
222,11328,B10603008,報告主題,2023/10/2 20:30,2023/10/2 22:30
223,15106,R10445060,完成報告書,2023/9/27 11:30,2023/9/27 12:30
224,19935,B09A02127,工作分配,2023/10/29 11:00,2023/10/29 13:00
225,13591,B10611052,實驗結果,2023/11/16 15:00,2023/11/16 17:00
226,20489,B11203008,實作方法,2023/9/24 13:30,2023/9/24 14:30
227,12861,B10402009,實作方法,2023/9/26 10:30,2023/9/26 11:30
228,1633,B09603023,報告主題,2023/12/11 11:00,2023/12/11 12:00
229,4147,B09501309,工作分配,2023/10/18 12:30,2023/10/18 14:30
230,18295,B10101011,實驗結果,2023/11/21 14:00,2023/11/21 16:00
231,11684,T11302129,報告主題,2023/10/4 21:30,2023/10/4 23:30
232,1804,R11645032,實驗結果,2023/12/11 12:00,2023/12/11 13:00
233,3664,R11941060,實作方法,2023/11/9 12:00,2023/11/9 14:00
234,952,B10804051,報告主題,2023/12/9 17:00,2023/12/9 19:00
235,2631,B08202010,實驗結果,2023/12/2 13:30,2023/12/2 14:30
236,20688,B11501259,實驗結果,2023/11/18 21:30,2023/11/18 23:30
237,4117,B09901259,實作方法,2023/11/9 12:30,2023/11/9 14:30
238,14576,B08502014,工作分配,2023/9/24 11:30,2023/9/24 12:30
239,10193,B10201102,實作方法,2023/9/28 12:30,2023/9/28 14:30
240,17989,B10703065,實驗結果,2023/11/28 13:00,2023/11/28 14:00
241,1916,B11611014,報告主題,2023/11/20 11:30,2023/11/20 13:30
242,10713,B09902159,完成報告書,2023/11/25 13:30,2023/11/25 14:30
243,5437,B11705005,完成報告書,2023/12/9 22:30,2023/12/9 23:30
244,4541,B11703044,實驗結果,2023/9/26 13:00,2023/9/26 15:00
245,17844,B10106041,實作方法,2023/11/4 19:00,2023/11/4 21:00
246,14933,B11707074,實作方法,2023/9/27 16:30,2023/9/27 17:30
247,13206,B11614003,實驗結果,2023/10/8 15:30,2023/10/8 16:30
248,15013,B08503049,工作分配,2023/10/18 09:30,2023/10/18 10:30
249,13508,R11642261,工作分配,2023/11/11 16:30,2023/11/11 18:30
250,12171,B09612013,實驗結果,2023/11/2 18:30,2023/11/2 19:30
251,14566,B11905017,完成報告書,2023/9/25 09:00,2023/9/25 10:00
252,17441,B08A02027,實驗結果,2023/12/7 22:30,2023/12/8 00:30
253,7320,R10723042,工作分配,2023/10/29 12:00,2023/10/29 14:00
254,8975,R11941057,工作分配,2023/11/14 11:00,2023/11/14 12:00
255,5077,B10502142,完成報告書,2023/12/12 10:00,2023/12/12 11:00
256,13369,B11501018,工作分配,2023/9/27 09:00,2023/9/27 10:00
257,10380,B11304204,實作方法,2023/9/8 09:30,2023/9/8 11:30
258,13021,B10902339,完成報告書,2023/11/18 11:00,2023/11/18 13:00
259,9571,R10621049,工作分配,2023/12/2 10:30,2023/12/2 12:30
260,9177,R11943057,報告主題,2023/12/12 12:30,2023/12/12 14:30
261,16023,R07221102,實作方法,2023/9/20 17:00,2023/9/20 18:00
262,1798,B10202605,報告主題,2023/11/26 13:00,2023/11/26 15:00
263,6661,B08202217,完成報告書,2023/11/26 11:00,2023/11/26 12:00
264,18254,B08705022,實作方法,2023/10/28 13:00,2023/10/28 15:00
265,988,B10308023,報告主題,2023/10/12 10:00,2023/10/12 11:00
266,3513,B10401046,完成報告書,2023/9/5 13:30,2023/9/5 15:30
267,3800,F08523028,工作分配,2023/10/7 11:30,2023/10/7 13:30
268,9584,T11301109,實作方法,2023/11/19 16:00,2023/11/19 18:00
269,5808,B09703040,實驗結果,2023/9/22 12:00,2023/9/22 14:00
270,18959,B09108024,完成報告書,2023/10/2 12:00,2023/10/2 14:00
271,2944,B10502151,實作方法,2023/9/6 17:30,2023/9/6 18:30
272,18894,B09103044,工作分配,2023/11/25 18:30,2023/11/25 20:30
273,222,R11A21041,工作分配,2023/10/12 10:00,2023/10/12 11:00
274,2407,B11103028,完成報告書,2023/11/2 11:30,2023/11/2 13:30
275,866,B09301075,報告主題,2023/11/28 10:30,2023/11/28 12:30
276,20283,B08101168,報告主題,2023/11/22 19:00,2023/11/22 21:00
277,469,F07447030,報告主題,2023/11/13 10:00,2023/11/13 12:00
278,8737,B07203082,實作方法,2023/9/16 22:00,2023/9/17 00:00
279,4764,B06404081,實驗結果,2023/11/13 14:30,2023/11/13 15:30
280,10193,B10201102,報告主題,2023/10/27 09:00,2023/10/27 10:00
281,14355,R10523049,實驗結果,2023/12/11 10:30,2023/12/11 12:30
282,5743,B09401003,實驗結果,2023/9/6 20:00,2023/9/6 22:00
283,15688,B11201025,報告主題,2023/9/13 21:00,2023/9/13 23:00
284,15122,B09904016,工作分配,2023/11/30 20:30,2023/11/30 21:30
285,17934,B10401029,工作分配,2023/9/6 09:30,2023/9/6 10:30
286,8834,R10521056,工作分配,2023/10/4 17:00,2023/10/4 19:00
287,4148,D10621012,報告主題,2023/11/16 12:00,2023/11/16 13:00
288,8648,B10702717,完成報告書,2023/11/9 18:30,2023/11/9 20:30
289,3916,B10A04015,實作方法,2023/11/29 13:30,2023/11/29 14:30
290,7167,B10406015,實驗結果,2023/10/29 09:00,2023/10/29 11:00
291,19371,B08902010,實驗結果,2023/11/23 13:00,2023/11/23 14:00
292,17485,R11741082,工作分配,2023/11/10 10:00,2023/11/10 11:00
293,1529,B10202025,完成報告書,2023/11/15 11:00,2023/11/15 13:00
294,10982,B09502004,報告主題,2023/10/5 19:00,2023/10/5 20:00
295,11038,R11224011,實作方法,2023/10/8 15:30,2023/10/8 16:30
296,6501,B09506035,實作方法,2023/12/3 15:00,2023/12/3 17:00
297,4253,R09943023,完成報告書,2023/11/22 09:30,2023/11/22 11:30
298,12274,B11506023,實作方法,2023/11/17 16:00,2023/11/17 17:00
299,9162,R11H41024,實作方法,2023/10/31 11:30,2023/10/31 13:30
300,17536,B08205036,報告主題,2023/10/11 11:00,2023/10/11 12:00
301,9737,B11103023,完成報告書,2023/9/14 16:30,2023/9/14 18:30
302,20106,B08A01239,實作方法,2023/9/19 12:00,2023/9/19 13:00
303,19827,B11612024,實作方法,2023/9/8 11:00,2023/9/8 12:00
304,15000,B09601015,工作分配,2023/10/25 15:30,2023/10/25 16:30
305,7693,B11613068,實驗結果,2023/10/19 21:30,2023/10/19 23:30
306,6602,B10207028,完成報告書,2023/9/28 09:00,2023/9/28 11:00
307,8198,B11604011,完成報告書,2023/10/28 15:30,2023/10/28 17:30
308,18657,R10A26023,實作方法,2023/9/28 13:30,2023/9/28 14:30
309,19333,R10942054,實作方法,2023/12/6 21:00,2023/12/6 22:00
310,3668,B10611098,實驗結果,2023/11/24 09:00,2023/11/24 10:00
311,1792,B11404093,報告主題,2023/10/11 13:30,2023/10/11 15:30
312,17641,B10101057,工作分配,2023/11/13 22:30,2023/11/14 00:30
313,16475,R10725060,實驗結果,2023/10/3 13:00,2023/10/3 15:00
314,3720,B09602031,報告主題,2023/12/11 21:30,2023/12/11 23:30
315,12111,B08901073,實驗結果,2023/9/18 14:00,2023/9/18 15:00
316,12582,B08A07044,工作分配,2023/9/26 15:00,2023/9/26 16:00
317,17611,B11615034,完成報告書,2023/11/4 11:00,2023/11/4 12:00
318,8135,B09501011,工作分配,2023/11/30 10:00,2023/11/30 11:00
319,1744,D01942004,報告主題,2023/12/12 13:00,2023/12/12 14:00
320,13828,R10A22014,實驗結果,2023/11/30 13:00,2023/11/30 15:00
321,382,B11302037,實驗結果,2023/9/13 21:00,2023/9/13 23:00
322,20934,B11104034,實驗結果,2023/10/24 18:30,2023/10/24 20:30
323,5001,B11901091,報告主題,2023/10/4 12:30,2023/10/4 14:30
324,11988,B10403055,實作方法,2023/9/25 13:30,2023/9/25 14:30
325,5827,B09401053,工作分配,2023/10/13 10:00,2023/10/13 12:00
326,15727,B11617052,完成報告書,2023/12/10 10:00,2023/12/10 12:00
327,13963,B10708006,完成報告書,2023/9/20 19:00,2023/9/20 21:00
328,3777,B10202106,報告主題,2023/10/4 13:30,2023/10/4 14:30
329,12046,B11804081,完成報告書,2023/10/20 11:30,2023/10/20 12:30
330,15257,B10400047,完成報告書,2023/11/9 12:00,2023/11/9 14:00
331,15633,B09301150,實作方法,2023/10/26 22:30,2023/10/26 23:30
332,11217,B08202115,實驗結果,2023/12/12 11:00,2023/12/12 12:00
333,11234,B08101011,報告主題,2023/12/2 16:30,2023/12/2 18:30
334,10199,B11103040,報告主題,2023/12/5 13:30,2023/12/5 14:30
335,7045,B08201004,實作方法,2023/10/7 22:30,2023/10/8 00:30
336,8329,B11505055,工作分配,2023/11/1 17:00,2023/11/1 18:00
337,6515,B11403050,實驗結果,2023/10/27 10:30,2023/10/27 11:30
338,8934,B08302824,報告主題,2023/9/7 22:00,2023/9/8 00:00
339,6489,B09301111,實作方法,2023/10/19 15:30,2023/10/19 16:30
340,1546,R08121026,完成報告書,2023/9/20 13:30,2023/9/20 15:30
341,13048,B11102106,報告主題,2023/10/27 17:00,2023/10/27 18:00
342,2923,B09503022,實作方法,2023/9/20 11:00,2023/9/20 12:00
343,16201,B11405039,報告主題,2023/12/10 22:30,2023/12/10 23:30
344,9501,B10502025,實驗結果,2023/9/10 10:30,2023/9/10 11:30
345,14233,B10201A01,實驗結果,2023/11/10 10:30,2023/11/10 12:30
346,9978,B09401016,完成報告書,2023/11/23 09:30,2023/11/23 10:30
347,70,B09102036,完成報告書,2023/9/29 20:00,2023/9/29 21:00
348,19619,B10706033,報告主題,2023/12/12 13:00,2023/12/12 15:00
349,19520,F09545022,完成報告書,2023/11/4 16:00,2023/11/4 17:00
350,12568,B10802717,工作分配,2023/11/24 17:00,2023/11/24 18:00
351,9266,B09700047,完成報告書,2023/11/23 12:30,2023/11/23 14:30
352,14335,B11301011,工作分配,2023/10/24 12:00,2023/10/24 14:00
353,11481,B09902016,實驗結果,2023/10/11 09:00,2023/10/11 11:00
354,11854,B09301039,實作方法,2023/9/10 10:30,2023/9/10 12:30
355,10173,B09104004,實驗結果,2023/10/7 09:00,2023/10/7 11:00
356,9092,R11442824,報告主題,2023/11/21 10:00,2023/11/21 12:00
357,14470,D05941A01,工作分配,2023/11/3 10:30,2023/11/3 12:30
358,15476,B08A03077,工作分配,2023/10/13 18:30,2023/10/13 19:30
359,4396,R11259026,實驗結果,2023/11/28 09:30,2023/11/28 11:30
360,13049,B09901057,實驗結果,2023/12/1 18:30,2023/12/1 19:30
361,14952,B09606035,實驗結果,2023/9/20 11:30,2023/9/20 12:30
362,3114,B08612150,實作方法,2023/10/3 20:30,2023/10/3 22:30
363,2285,R10221018,完成報告書,2023/12/10 11:30,2023/12/10 12:30
364,9540,B06401046,報告主題,2023/11/21 10:00,2023/11/21 11:00
365,11417,R10941029,實驗結果,2023/9/25 12:30,2023/9/25 13:30
366,6880,R10522029,實驗結果,2023/11/9 09:00,2023/11/9 11:00
367,18899,B10A05024,實作方法,2023/9/4 11:00,2023/9/4 12:00
368,16240,B11201024,工作分配,2023/11/27 10:00,2023/11/27 11:00
369,8959,B07205003,報告主題,2023/11/9 11:00,2023/11/9 12:00
370,13836,R11A22261,報告主題,2023/9/16 10:00,2023/9/16 12:00
371,11416,R11221240,完成報告書,2023/12/4 17:30,2023/12/4 18:30
372,4150,B11903012,工作分配,2023/10/4 11:30,2023/10/4 12:30
