user_ID,course_ID,sememter,grade,display_on_introduction
D05942150,21476,112-1,,True
D05942150,19830,112-1,,True
B09402028,66968,112-1,,True
B09402028,47224,112-1,,False
B09402028,3035,112-1,,True
B09402028,34547,112-1,,True
B09402028,32355,112-1,,True
B09402028,51988,112-1,,True
B09402028,28688,112-1,,False
B10103032,24709,112-1,,False
B10103032,80577,112-1,,False
B10103032,49575,112-1,,True
B10103032,42386,112-1,,True
B10103032,40396,112-1,,True
B10103032,65554,112-1,,False
B10103032,62057,112-1,,True
B11H03003,10183,112-1,,True
B11H03003,75369,112-1,,False
B11H03003,54166,112-1,,False
B11H03003,51102,112-1,,False
B11H03003,37782,112-1,,True
B11H03003,72137,112-1,,True
B11H03003,78998,112-1,,False
B08702006,66376,112-1,,False
B08702006,3055,112-1,,True
B08702006,42863,112-1,,True
B11407A03,31257,112-1,,True
B11407A03,3039,112-1,,True
B11407A03,87059,112-1,,True
B11407A03,57179,112-1,,True
B11407A03,29466,112-1,,False
B11201045,65657,112-1,,False
B11201045,88350,112-1,,True
B11201045,16643,112-1,,False
B11201045,63598,112-1,,False
B11201045,72583,112-1,,True
B11201045,62285,112-1,,True
B11201045,89603,112-1,,False
F08921019,80418,112-1,,True
F08921019,38926,112-1,,True
B10703020,25909,112-1,,True
B10703020,74846,112-1,,False
B10703020,80169,112-1,,True
B11502302,3032,112-1,,False
B11502302,11337,112-1,,False
B10103082,96002,112-1,,False
B10103082,87030,112-1,,False
B11202125,50129,112-1,,True
B11202125,21447,112-1,,False
B08505007,29842,112-1,,False
B08505007,13297,112-1,,False
B08505007,86131,112-1,,True
B08303018,39928,112-1,,True
B08303018,69975,112-1,,False
B08303018,66276,112-1,,True
B08303018,66967,112-1,,True
B08303018,16302,112-1,,False
B08303018,49481,112-1,,True
B08303018,24336,112-1,,False
R10528023,24769,112-1,,False
R10528023,28094,112-1,,False
R10528023,28543,112-1,,False
R10528023,53650,112-1,,True
R10528023,22197,112-1,,True
B11501043,61525,112-1,,False
B11501043,58849,112-1,,True
B11501043,56772,112-1,,True
B11501043,49934,112-1,,False
B11501043,89083,112-1,,True
B11501043,87521,112-1,,True
B11501043,84204,112-1,,True
R10622025,3054,112-1,,False
R10622025,43975,112-1,,True
R10622025,37825,112-1,,True
R10622025,35171,112-1,,True
B11701150,95058,112-1,,False
B11701150,52498,112-1,,True
B11701150,58437,112-1,,False
B11701150,17632,112-1,,True
B11701150,14199,112-1,,True
B11606041,27338,112-1,,False
B11606041,82573,112-1,,False
B11606041,80288,112-1,,True
B11606041,2006,112-1,,False
B11606041,26807,112-1,,True
B11606041,17827,112-1,,True
B11606041,59615,112-1,,False
B10502127,86256,112-1,,False
B10502127,67988,112-1,,False
B08A01049,54723,112-1,,True
B08A01049,10489,112-1,,False
B08A01049,33328,112-1,,True
B08A01049,68803,112-1,,False
B08A01049,52399,112-1,,False
B10602126,67934,112-1,,False
B10602126,67963,112-1,,True
B10602126,72697,112-1,,True
B10602126,57805,112-1,,False
B10602126,39066,112-1,,True
B11402127,69731,112-1,,False
B11402127,54047,112-1,,False
B11402127,41715,112-1,,False
B11402127,51176,112-1,,True
B11402127,22362,112-1,,True
R10632217,28094,112-1,,True
R10632217,48492,112-1,,False
R10632217,36061,112-1,,False
R10632217,18638,112-1,,True
R10632217,72697,112-1,,True
R10632217,26733,112-1,,True
B10501079,32445,112-1,,True
B10501079,16343,112-1,,False
B10501079,76057,112-1,,False
B10501079,87602,112-1,,False
B10501079,28179,112-1,,True
B10501079,88523,112-1,,False
B09701082,25092,112-1,,False
B09701082,56772,112-1,,True
B09701082,33802,112-1,,False
B09502001,28094,112-1,,False
B09502001,96015,112-1,,False
B09502001,35147,112-1,,True
B09502001,58849,112-1,,True
B09502001,56970,112-1,,True
B09502001,35648,112-1,,False
B09502001,3030,112-1,,False
B10301016,61939,112-1,,False
B10301016,96048,112-1,,True
B10301016,83970,112-1,,True
B10301016,58601,112-1,,True
B11202043,43599,112-1,,True
B11202043,78998,112-1,,True
B11202043,59235,112-1,,True
B11202043,11528,112-1,,False
B09507028,47124,112-1,,False
B09507028,26509,112-1,,True
B09507028,3033,112-1,,True
B09507028,86467,112-1,,True
B09507028,58964,112-1,,False
B09507028,46901,112-1,,True
B09507028,72583,112-1,,False
B11502102,14417,112-1,,False
B11502102,40345,112-1,,False
B11502102,33016,112-1,,False
B11502102,89825,112-1,,True
B10703077,23231,112-1,,True
B10703077,11896,112-1,,False
B10703077,75298,112-1,,False
B10703077,37703,112-1,,False
B10703077,57388,112-1,,True
B10703077,81478,112-1,,False
B10101120,59760,112-1,,True
B10101120,12064,112-1,,True
B10101120,72137,112-1,,True
B11707055,63487,112-1,,False
B11707055,65531,112-1,,False
B11707055,73671,112-1,,True
B11101070,19830,112-1,,False
B11101070,72560,112-1,,False
B11101070,44083,112-1,,False
B11101070,17725,112-1,,True
B11101070,36061,112-1,,False
B11902055,42174,112-1,,True
B11902055,57364,112-1,,False
B11902055,86727,112-1,,False
B10705039,69364,112-1,,False
B10705039,82019,112-1,,True
B10705039,98020,112-1,,True
B10705039,45335,112-1,,True
B10705039,86467,112-1,,False
B10408004,47632,112-1,,False
B10408004,39197,112-1,,False
B10408004,74250,112-1,,False
B10408004,36187,112-1,,True
B08903038,71546,112-1,,True
B08903038,53369,112-1,,True
B08903038,11852,112-1,,False
B08903038,62304,112-1,,True
B08903038,32046,112-1,,True
B08903038,62274,112-1,,False
B08903038,77325,112-1,,False
F09549080,20819,112-1,,True
F09549080,13760,112-1,,False
F09549080,83143,112-1,,False
B10602039,73746,112-1,,True
B10602039,17380,112-1,,False
B10602039,43274,112-1,,False
B10602039,28094,112-1,,True
B10602039,98333,112-1,,True
B10602039,82975,112-1,,True
R11528118,3045,112-1,,False
R11528118,81530,112-1,,True
R11528118,85109,112-1,,False
R11528118,35459,112-1,,True
R11528118,67688,112-1,,True
R11528118,30831,112-1,,True
R11528118,27502,112-1,,False
B10201015,58608,112-1,,True
B10201015,31257,112-1,,False
B10201015,43181,112-1,,True
B10201015,17380,112-1,,False
B09701120,46741,112-1,,False
B09701120,87689,112-1,,True
B09701120,3011,112-1,,True
B09701120,70851,112-1,,True
B10302029,65011,112-1,,False
B10302029,76446,112-1,,False
B10302029,61986,112-1,,True
R11622339,26837,112-1,,True
R11622339,21685,112-1,,False
R11622339,15028,112-1,,True
R11622339,33802,112-1,,False
B11100047,25092,112-1,,False
B11100047,71347,112-1,,False
B11100047,18762,112-1,,True
B11100047,75265,112-1,,False
B11100047,45357,112-1,,True
B11100047,23933,112-1,,False
R10523142,1058,112-1,,False
R10523142,89115,112-1,,True
R10523142,67963,112-1,,True
R10523142,78998,112-1,,True
R10523142,63605,112-1,,False
B11405035,71374,112-1,,True
B11405035,79831,112-1,,True
B11405035,52498,112-1,,False
B11405035,67297,112-1,,True
B09602024,87689,112-1,,True
B09602024,52301,112-1,,False
B09602024,26199,112-1,,True
B09602024,87153,112-1,,False
B11105007,14199,112-1,,True
B11105007,16306,112-1,,True
B11105007,36535,112-1,,False
B08505022,87640,112-1,,False
B08505022,2007,112-1,,True
B08505022,18293,112-1,,True
B08505022,20305,112-1,,False
B08505022,49991,112-1,,False
B10102638,51134,112-1,,True
B10102638,57133,112-1,,False
B10102638,34331,112-1,,False
B10102638,67116,112-1,,False
B10102638,82365,112-1,,False
B10102638,73899,112-1,,False
B10102638,32760,112-1,,True
B08611040,16701,112-1,,False
B08611040,52693,112-1,,False
B08611040,52399,112-1,,True
B06405014,54670,112-1,,False
B06405014,42197,112-1,,True
B06405014,78098,112-1,,False
B06405014,38409,112-1,,True
B06405014,11700,112-1,,True
B06405014,65812,112-1,,False
B11701239,34107,112-1,,True
B11701239,57805,112-1,,False
B11701239,24258,112-1,,True
B11701239,66566,112-1,,True
B11505055,3011,112-1,,True
B11505055,28094,112-1,,False
B11505055,83243,112-1,,False
B11505055,67963,112-1,,True
B11505055,3039,112-1,,True
B11505055,89769,112-1,,True
B11612005,3050,112-1,,False
B11612005,69928,112-1,,False
B11612005,31222,112-1,,True
B11612005,46822,112-1,,False
B11612005,39858,112-1,,False
R11622208,51391,112-1,,True
R11622208,62095,112-1,,False
R11622208,77976,112-1,,False
R11622208,43145,112-1,,False
R11622208,96066,112-1,,False
R11622208,52498,112-1,,True
R11622208,77325,112-1,,True
B10203022,23567,112-1,,True
B10203022,61436,112-1,,False
B10203022,41602,112-1,,True
B11402055,12291,112-1,,False
B11402055,58500,112-1,,False
B11402055,39706,112-1,,True
B11402055,67378,112-1,,True
B11402055,41570,112-1,,True
B09505055,30074,112-1,,True
B09505055,80947,112-1,,False
B09505055,13494,112-1,,False
B09303044,75298,112-1,,True
B09303044,44790,112-1,,False
B09303044,3041,112-1,,True
B09303044,71858,112-1,,False
B09303044,62196,112-1,,False
B09303044,72583,112-1,,True
R10223082,54481,112-1,,True
R10223082,65657,112-1,,False
R10223082,50754,112-1,,False
R10223082,25092,112-1,,False
R10223082,83297,112-1,,True
B09902004,25419,112-1,,False
B09902004,32579,112-1,,False
B09902004,20274,112-1,,True
B09902004,3017,112-1,,False
B09805015,75265,112-1,,True
B09805015,33328,112-1,,False
B09805015,66968,112-1,,False
B09805015,88858,112-1,,True
B11508032,34460,112-1,,True
B11508032,25092,112-1,,True
B11508032,3034,112-1,,True
B11508032,77985,112-1,,False
B11508032,72583,112-1,,True
B08900016,47767,112-1,,False
B08900016,3031,112-1,,False
B08900016,30014,112-1,,False
B08900016,65765,112-1,,True
B08900016,26530,112-1,,False
B08900016,18953,112-1,,True
B08900016,67934,112-1,,False
R10622125,44599,112-1,,False
R10622125,63951,112-1,,False
B05307023,12636,112-1,,True
B05307023,77652,112-1,,False
B05307023,36187,112-1,,True
B05307023,88391,112-1,,False
B11108053,77871,112-1,,True
B11108053,96988,112-1,,True
B06208312,40396,112-1,,False
B06208312,21685,112-1,,False
B06208312,25092,112-1,,False
B06208312,21476,112-1,,False
B06208312,89837,112-1,,True
B10703150,12205,112-1,,False
B10703150,24349,112-1,,False
B10703150,77985,112-1,,True
B10703150,79369,112-1,,False
B10703150,44919,112-1,,False
B10703150,25092,112-1,,True
R10921052,45275,112-1,,False
R10921052,49786,112-1,,False
R10921052,55166,112-1,,True
R10921052,57805,112-1,,False
B10501098,69207,112-1,,True
B10501098,85172,112-1,,False
B10501098,61571,112-1,,False
B10501098,84680,112-1,,False
B10501098,63951,112-1,,False
B10501098,67783,112-1,,False
B10501098,63547,112-1,,True
B05306023,56913,112-1,,True
B05306023,50455,112-1,,False
B05306023,25092,112-1,,False
B05306023,22464,112-1,,False
B10605033,45388,112-1,,True
B10605033,72583,112-1,,True
B10605033,39066,112-1,,True
B10605033,57805,112-1,,True
B10605033,30667,112-1,,False
B08612717,34101,112-1,,True
B08612717,25079,112-1,,True
B08612717,30736,112-1,,True
B08612717,43428,112-1,,False
B08612717,73340,112-1,,True
B08612717,84204,112-1,,True
B09504035,72137,112-1,,True
B09504035,15585,112-1,,True
B09504035,98024,112-1,,True
B10204038,12418,112-1,,False
B10204038,3049,112-1,,True
B10204038,40598,112-1,,True
R11H42119,45812,112-1,,False
R11H42119,21964,112-1,,False
R11H42119,43975,112-1,,False
R11H42119,82737,112-1,,True
R11H42119,3012,112-1,,False
R11H42119,23827,112-1,,True
R11H42119,50754,112-1,,True
B11401004,3033,112-1,,False
B11401004,44651,112-1,,True
B11401004,24534,112-1,,False
B08106028,70902,112-1,,False
B08106028,67688,112-1,,False
B08106028,29921,112-1,,False
B08106028,67688,112-1,,False
B08106028,30676,112-1,,True
B08106028,70847,112-1,,False
B11615032,87689,112-1,,False
B11615032,10229,112-1,,False
B11615032,66367,112-1,,False
B11615032,50630,112-1,,True
B11615032,75265,112-1,,False
B11615032,84780,112-1,,False
R10941010,60507,112-1,,False
R10941010,75265,112-1,,True
R10941010,72278,112-1,,True
R10631079,49313,112-1,,True
R10631079,34036,112-1,,False
R10631079,23379,112-1,,False
R10631079,12172,112-1,,False
R11622115,66381,112-1,,False
R11622115,65226,112-1,,True
B06407020,98019,112-1,,True
B06407020,3011,112-1,,True
B06407020,32355,112-1,,False
B06407020,88154,112-1,,True
B06407020,34107,112-1,,True
B08303018,3059,112-1,,True
B08303018,25171,112-1,,False
B08303018,36032,112-1,,False
B08303018,11510,112-1,,False
B10709021,28094,112-1,,False
B10709021,71546,112-1,,True
B10709021,18346,112-1,,False
B10709021,69648,112-1,,False
B10709021,88478,112-1,,False
B10709021,98029,112-1,,True
B10A06020,40154,112-1,,True
B10A06020,67688,112-1,,False
B10A06020,78335,112-1,,False
B11611141,48322,112-1,,True
B11611141,3031,112-1,,True
B11611141,10895,112-1,,True
B11611141,12418,112-1,,False
B11611141,27502,112-1,,False
B10701004,78335,112-1,,False
B10701004,86311,112-1,,True
B10701004,67688,112-1,,False
B10701004,10165,112-1,,False
B10701004,62140,112-1,,False
B10701004,71858,112-1,,True
B10701004,35661,112-1,,True
B10405015,16458,112-1,,False
B10405015,16603,112-1,,True
B10405015,67688,112-1,,True
R10623035,63044,112-1,,True
R10623035,46233,112-1,,False
R10623035,52498,112-1,,False
B11602043,42197,112-1,,False
B11602043,52040,112-1,,True
B11602043,49177,112-1,,False
B11602043,11368,112-1,,False
R10245004,59737,112-1,,True
R10245004,66756,112-1,,False
R10245004,20340,112-1,,True
R10245004,14695,112-1,,False
R10245004,13003,112-1,,True
R10245004,95109,112-1,,False
B09901043,25283,112-1,,True
B09901043,18039,112-1,,True
B09901043,57805,112-1,,False
B09901043,66968,112-1,,False
B09901043,18401,112-1,,True
B09901043,3060,112-1,,True
B09901043,24633,112-1,,True
F08528024,73829,112-1,,True
F08528024,89657,112-1,,True
F08528024,31981,112-1,,False
F08528024,77731,112-1,,False
F08528024,31963,112-1,,True
F08528024,80601,112-1,,True
R11221012,88154,112-1,,False
R11221012,17259,112-1,,False
R11221012,12527,112-1,,False
B10305016,44842,112-1,,True
B10305016,73893,112-1,,True
B10305016,49848,112-1,,False
B10305016,20423,112-1,,True
B10305016,59738,112-1,,True
B10305016,65363,112-1,,True
B10305016,15766,112-1,,False
B09501026,60444,112-1,,False
B09501026,39785,112-1,,False
B09501026,72263,112-1,,True
B09501026,52498,112-1,,True
B09501026,30667,112-1,,True
B09501026,25092,112-1,,True
B11106023,29232,112-1,,False
B11106023,57805,112-1,,True
B11106023,11701,112-1,,True
B11106023,35808,112-1,,True
B11106023,67988,112-1,,True
B11106023,33812,112-1,,False
B10902014,16209,112-1,,True
B10902014,57805,112-1,,False
B10902014,15167,112-1,,True
B10902014,52498,112-1,,False
R10924013,61467,112-1,,False
R10924013,71546,112-1,,True
R10924013,35135,112-1,,True
B08609007,82043,112-1,,False
B08609007,58849,112-1,,False
B08609007,51774,112-1,,True
B09401024,16054,112-1,,True
B09401024,26201,112-1,,False
B09401024,52498,112-1,,True
B09401024,52895,112-1,,True
B10A04047,53399,112-1,,True
B10A04047,56191,112-1,,False
B10A04047,33858,112-1,,False
B10A04047,29286,112-1,,False
B10A04047,73294,112-1,,False
B10A04047,37105,112-1,,False
B10A04047,96029,112-1,,False
R11942638,41770,112-1,,False
R11942638,26093,112-1,,True
R11942638,80518,112-1,,True
R11942638,73363,112-1,,False
B08A01102,78185,112-1,,True
B08A01102,84158,112-1,,False
B08A01102,39628,112-1,,False
B08A01102,77178,112-1,,False
B08A01102,29681,112-1,,False
B08A01102,29494,112-1,,False
B08A01102,15429,112-1,,True
B09107044,77688,112-1,,True
B09107044,56615,112-1,,True
B09107044,25912,112-1,,True
B09107044,17380,112-1,,False
B09107044,13339,112-1,,False
F08520015,89849,112-1,,False
F08520015,59615,112-1,,True
F08520015,57805,112-1,,True
F08520015,55478,112-1,,True
F08520015,29133,112-1,,True
F08520015,70364,112-1,,True
F08520015,81189,112-1,,False
B11313036,63952,112-1,,False
B11313036,2007,112-1,,True
B11313036,68345,112-1,,False
B11313036,40345,112-1,,True
B10202150,88813,112-1,,False
B10202150,70081,112-1,,False
B10701152,32271,112-1,,True
B10701152,80418,112-1,,True
B10701152,23262,112-1,,True
D09B41048,60223,112-1,,False
D09B41048,85677,112-1,,True
D09B41048,33822,112-1,,False
D09B41048,86511,112-1,,False
D09B41048,53093,112-1,,True
B10302824,64249,112-1,,False
B10302824,61429,112-1,,False
B10302824,57550,112-1,,False
B10302824,2007,112-1,,False
R11120027,72583,112-1,,False
R11120027,17725,112-1,,False
R11120027,67688,112-1,,False
R11120027,52498,112-1,,False
B10201808,32785,112-1,,True
B10201808,84204,112-1,,False
B10201808,41241,112-1,,True
B10201808,81117,112-1,,True
B10201808,32575,112-1,,True
B10201808,96058,112-1,,True
B10302109,72673,112-1,,False
B10302109,33016,112-1,,False
B10302109,98010,112-1,,False
B10302109,72697,112-1,,False
B10302109,28094,112-1,,False
B10604049,40396,112-1,,True
B10604049,82686,112-1,,False
B10604049,84204,112-1,,False
B10604049,83294,112-1,,True
B10604049,60091,112-1,,True
B08301239,98274,112-1,,True
B08301239,3039,112-1,,True
B08301239,44842,112-1,,False
B08301239,58783,112-1,,False
B08301239,19609,112-1,,False
B08301239,77652,112-1,,False
R11A21211,57023,112-1,,False
R11A21211,30669,112-1,,False
R11A21211,43630,112-1,,True
R11A21211,68277,112-1,,False
R11A21211,86805,112-1,,False
R11A21211,78569,112-1,,True
B11401026,31114,112-1,,False
B11401026,38954,112-1,,False
B11401026,26062,112-1,,False
B11401026,67956,112-1,,True
B11401026,25388,112-1,,True
B11401026,24349,112-1,,True
B11401026,84204,112-1,,False
R11221207,58601,112-1,,False
R11221207,28094,112-1,,True
R11221207,84751,112-1,,False
R11221207,60939,112-1,,True
R11221207,71792,112-1,,False
R11221207,72010,112-1,,False
R11221207,59760,112-1,,False
B11202638,84726,112-1,,False
B11202638,67934,112-1,,True
B11202638,30084,112-1,,True
B11202638,98019,112-1,,False
B11202638,3008,112-1,,True
B11202638,12356,112-1,,True
B11202638,14863,112-1,,False
B10901046,80687,112-1,,True
B10901046,55016,112-1,,True
B10901046,37893,112-1,,True
R11624034,45537,112-1,,False
R11624034,55407,112-1,,True
R11624034,15213,112-1,,True
R11624034,19529,112-1,,True
R11624034,3039,112-1,,False
R11624034,10769,112-1,,False
B09302638,40396,112-1,,True
B09302638,50272,112-1,,True
B09601013,3049,112-1,,True
B09601013,61628,112-1,,False
B09601013,18969,112-1,,True
B09601013,51454,112-1,,True
B09601013,12418,112-1,,True
B09601013,50129,112-1,,True
B09601013,82303,112-1,,True
R11948015,24349,112-1,,True
R11948015,86131,112-1,,False
R11948015,64123,112-1,,False
R11948015,18379,112-1,,False
R11948015,25092,112-1,,False
R11948015,84204,112-1,,True
B07403044,45735,112-1,,False
B07403044,3031,112-1,,True
B07403044,52498,112-1,,False
B07403044,55781,112-1,,False
B09901047,30014,112-1,,True
B09901047,37854,112-1,,True
B09901047,53281,112-1,,False
B09901047,72127,112-1,,False
B09901047,61382,112-1,,True
B09901047,63598,112-1,,True
B09901047,3031,112-1,,True
B11616033,59760,112-1,,False
B11616033,84963,112-1,,True
B11616033,12418,112-1,,False
B11616033,89932,112-1,,True
B11616033,45404,112-1,,False
B10108023,55696,112-1,,False
B10108023,82019,112-1,,True
B10108023,79660,112-1,,False
B10108023,57513,112-1,,False
R10321066,19830,112-1,,True
R10321066,75265,112-1,,False
R10321066,66566,112-1,,False
R10321066,37782,112-1,,True
R10321066,53399,112-1,,True
R10321066,72697,112-1,,True
R11642125,12272,112-1,,True
R11642125,15094,112-1,,False
R11642125,24349,112-1,,False
R08123055,35101,112-1,,False
R08123055,27730,112-1,,True
R08123055,41321,112-1,,True
R08123055,40485,112-1,,False
R08123055,96692,112-1,,True
B11702084,30329,112-1,,False
B11702084,44131,112-1,,True
B11702084,11785,112-1,,True
B11702084,64551,112-1,,True
B11702084,63547,112-1,,False
R10442717,75802,112-1,,True
R10442717,80169,112-1,,False
R10442717,3021,112-1,,True
R10442717,79831,112-1,,True
R10442717,63598,112-1,,True
R10442717,55478,112-1,,False
R10442717,3056,112-1,,False
B06202339,62057,112-1,,False
B06202339,58875,112-1,,False
B06202339,83931,112-1,,False
B06202339,75992,112-1,,False
B06202339,24256,112-1,,True
B09902106,75265,112-1,,True
B09902106,60507,112-1,,False
B09902106,29494,112-1,,False
B09902106,3044,112-1,,True
B09902106,65197,112-1,,False
B09902106,33328,112-1,,False
B09902106,53399,112-1,,True
R11943012,57772,112-1,,False
R11943012,12291,112-1,,False
R11943012,80902,112-1,,True
R11943012,64409,112-1,,True
R11943012,3021,112-1,,True
R11943012,15315,112-1,,False
F09543044,68277,112-1,,True
F09543044,46996,112-1,,False
F09543044,96822,112-1,,True
F09543044,40396,112-1,,True
F09543044,43176,112-1,,True
B10617039,65755,112-1,,True
B10617039,56229,112-1,,True
B10705020,72010,112-1,,False
B10705020,21353,112-1,,True
B09101056,18401,112-1,,False
B09101056,81604,112-1,,True
B09101056,95031,112-1,,True
B09101056,98039,112-1,,True
B09101056,81100,112-1,,True
B11612339,75265,112-1,,True
B11612339,49719,112-1,,False
B11612339,30667,112-1,,True
B11612339,89036,112-1,,False
B11612339,33328,112-1,,True
B11612339,12314,112-1,,False
B11612339,66177,112-1,,False
B09601046,57172,112-1,,False
B09601046,96070,112-1,,False
B09601046,44047,112-1,,False
B09601046,61760,112-1,,False
B11201017,86006,112-1,,False
B11201017,52399,112-1,,True
B11201017,28094,112-1,,False
B11201017,85376,112-1,,False
B11601001,54047,112-1,,False
B11601001,26141,112-1,,False
B11601001,3017,112-1,,False
B11601001,50105,112-1,,False
B11601001,83354,112-1,,True
R11941066,33855,112-1,,True
R11941066,14766,112-1,,False
R11941066,50671,112-1,,False
R11941066,81342,112-1,,False
R11521204,3060,112-1,,True
R11521204,3050,112-1,,True
R11521204,69043,112-1,,True
R11521204,11337,112-1,,False
R11521204,51937,112-1,,True
B09503035,21666,112-1,,True
B09503035,3010,112-1,,True
B09703077,25494,112-1,,True
B09703077,22038,112-1,,False
B09703077,44231,112-1,,False
B11202005,61665,112-1,,True
B11202005,48081,112-1,,True
B11202005,26901,112-1,,False
B11202005,67688,112-1,,False
B11202005,67988,112-1,,False
B11202005,67988,112-1,,True
B10A01079,53399,112-1,,True
B10A01079,29959,112-1,,False
B10A01079,75254,112-1,,False
B10A01079,72430,112-1,,False
B10A01079,12356,112-1,,True
B10A01079,3008,112-1,,False
B10A01079,27022,112-1,,True
R09624093,72588,112-1,,True
R09624093,86256,112-1,,True
R09624093,60337,112-1,,False
R09624093,72010,112-1,,True
B11B01025,28169,112-1,,True
B11B01025,39245,112-1,,False
B11B01025,74145,112-1,,True
B11B01025,25859,112-1,,False
B11B01025,27940,112-1,,False
B11B01025,43083,112-1,,False
B11102638,83506,112-1,,False
B11102638,34540,112-1,,True
B11102638,74987,112-1,,True
B11102638,70081,112-1,,False
B11102638,1060,112-1,,False
R10941037,35001,112-1,,True
R10941037,3059,112-1,,True
B08901014,37617,112-1,,True
B08901014,47881,112-1,,False
B09701082,84204,112-1,,True
B09701082,55478,112-1,,False
B09701082,46712,112-1,,False
F07446028,60166,112-1,,True
F07446028,13572,112-1,,True
F07446028,63667,112-1,,False
F07446028,40345,112-1,,True
F07446028,83273,112-1,,False
B10502150,40396,112-1,,True
B10502150,33532,112-1,,True
B10502150,72503,112-1,,False
B10502150,98011,112-1,,True
B10502150,74244,112-1,,True
B10502150,54727,112-1,,True
D09B44081,60325,112-1,,False
D09B44081,82411,112-1,,True
D09B44081,39976,112-1,,False
D09B44081,79660,112-1,,True
D09B44081,3011,112-1,,False
B09702638,63330,112-1,,True
B09702638,47180,112-1,,False
B10603020,44861,112-1,,True
B10603020,67686,112-1,,True
B10603020,78978,112-1,,True
B10603020,26802,112-1,,False
B10603020,3012,112-1,,True
B10603020,25092,112-1,,True
B10603020,12179,112-1,,False
B10302302,83819,112-1,,False
B10302302,25092,112-1,,True
B10302302,52498,112-1,,True
B10302302,50944,112-1,,False
B10302302,26971,112-1,,True
D03941010,19539,112-1,,True
D03941010,83035,112-1,,True
D03941010,59615,112-1,,False
D03941010,26199,112-1,,False
D03941010,3038,112-1,,False
D03941010,17049,112-1,,False
D03941010,75265,112-1,,False
B10701082,14693,112-1,,True
B10701082,29009,112-1,,False
B10701082,20620,112-1,,True
B10701082,57133,112-1,,True
B10701082,63598,112-1,,False
B11501029,75265,112-1,,False
B11501029,26576,112-1,,False
B11501029,39029,112-1,,True
B11501029,84963,112-1,,True
B09904017,73994,112-1,,True
B09904017,89448,112-1,,True
B09904017,65931,112-1,,False
B11H01204,62512,112-1,,False
B11H01204,34678,112-1,,False
B11H01204,51669,112-1,,True
B11H01204,50774,112-1,,False
B11H01204,53360,112-1,,True
B11H01204,42342,112-1,,True
B11701159,15458,112-1,,False
B11701159,55166,112-1,,False
B11701159,3041,112-1,,True
B11701159,95024,112-1,,False
B11701159,70941,112-1,,True
B11701159,58601,112-1,,True
R11252037,72697,112-1,,True
R11252037,58331,112-1,,False
R11252037,15315,112-1,,True
R11252037,66881,112-1,,True
B10801072,75265,112-1,,False
B10801072,88813,112-1,,True
B10801072,20399,112-1,,True
B11617039,59760,112-1,,True
B11617039,3043,112-1,,False
B11617039,59615,112-1,,True
B11617039,78802,112-1,,True
B09602055,96039,112-1,,True
B09602055,53399,112-1,,False
B09602055,32355,112-1,,True
B09602055,84829,112-1,,False
B09602055,84204,112-1,,False
B09302125,35122,112-1,,True
B09302125,52262,112-1,,True
B09302125,86463,112-1,,False
B09302125,23231,112-1,,True
R10222014,35648,112-1,,True
R10222014,88947,112-1,,True
R10222014,25334,112-1,,True
