user ID,IG account,FB account
B09601046,B09601046_,B09601046_
B11201017,B11201017_,B11201017_
B11601001,B11601001_,B11601001_
R11941066,R11941066_,R11941066_
R11521204,R11521204_,R11521204_
B09503035,B09503035_,B09503035_
B09703077,B09703077_,B09703077_
B11202005,B11202005_,B11202005_
B10A01079,B10A01079_,B10A01079_
R09624093,R09624093_,R09624093_
B11B01025,B11B01025_,B11B01025_
B11102638,B11102638_,B11102638_
R10941037,R10941037_,R10941037_
B08901014,B08901014_,B08901014_
B09701082,B09701082_,B09701082_
F07446028,F07446028_,F07446028_
B10502150,B10502150_,B10502150_
D09B44081,D09B44081_,D09B44081_
B09702638,B09702638_,B09702638_
B10603020,B10603020_,B10603020_
B10302302,B10302302_,B10302302_
D03941010,D03941010_,D03941010_
B10701082,B10701082_,B10701082_
B11501029,B11501029_,B11501029_
B09904017,B09904017_,B09904017_
B11H01204,B11H01204_,B11H01204_
B11701159,B11701159_,B11701159_
R11252037,R11252037_,R11252037_
B10801072,B10801072_,B10801072_
B11617039,B11617039_,B11617039_
B09602055,B09602055_,B09602055_
B09302125,B09302125_,B09302125_
R10222014,R10222014_,R10222014_
B09405005,B09405005_,B09405005_
B09A04047,B09A04047_,B09A04047_
B08508024,B08508024_,B08508024_
B11203008,B11203008_,B11203008_
B09602037,B09602037_,B09602037_
R10521066,R10521066_,R10521066_
R11A21101,R11A21101_,R11A21101_
B10101102,B10101102_,B10101102_
R11621212,R11621212_,R11621212_
R10A21073,R10A21073_,R10A21073_
B10905032,B10905032_,B10905032_
B11401119,B11401119_,B11401119_
B11204004,B11204004_,B11204004_
B09704011,B09704011_,B09704011_
B10502028,B10502028_,B10502028_
B08501150,B08501150_,B08501150_
B10901072,B10901072_,B10901072_
R11941024,R11941024_,R11941024_
R11641098,R11641098_,R11641098_
B10707039,B10707039_,B10707039_
B11901016,B11901016_,B11901016_
B07A01072,B07A01072_,B07A01072_
B11301011,B11301011_,B11301011_
B11108003,B11108003_,B11108003_
B11902001,B11902001_,B11902001_
B09509026,B09509026_,B09509026_
B09901207,B09901207_,B09901207_
R11121A01,R11121A01_,R11121A01_
R10920039,R10920039_,R10920039_
B10502125,B10502125_,B10502125_
R11620012,R11620012_,R11620012_
B10301004,B10301004_,B10301004_
B08A01347,B08A01347_,B08A01347_
B10201309,B10201309_,B10201309_
B09701217,B09701217_,B09701217_
R10522055,R10522055_,R10522055_
B10207028,B10207028_,B10207028_
B11901016,B11901016_,B11901016_
B11501061,B11501061_,B11501061_
B09404093,B09404093_,B09404093_
B10801120,B10801120_,B10801120_
B10700047,B10700047_,B10700047_
B09A00012,B09A00012_,B09A00012_
B09705022,B09705022_,B09705022_
B08903082,B08903082_,B08903082_
B10804051,B10804051_,B10804051_
R11122036,R11122036_,R11122036_
B11901016,B11901016_,B11901016_
B11105055,B11105055_,B11105055_
B11903068,B11903068_,B11903068_
R11945034,R11945034_,R11945034_
B10204038,B10204038_,B10204038_
R11921056,R11921056_,R11921056_
R10222054,R10222054_,R10222054_
F07443010,F07443010_,F07443010_
B10701108,B10701108_,B10701108_
B09301216,B09301216_,B09301216_
B08A07044,B08A07044_,B08A07044_
R11122115,R11122115_,R11122115_
B10A05004,B10A05004_,B10A05004_
B11H04049,B11H04049_,B11H04049_
R11624009,R11624009_,R11624009_
B11903020,B11903020_,B11903020_
R10521012,R10521012_,R10521012_
B11104034,B11104034_,B11104034_
B10A02125,B10A02125_,B10A02125_
B11101043,B11101043_,B11101043_
R11941024,R11941024_,R11941024_
B09501126,B09501126_,B09501126_
B08101040,B08101040_,B08101040_
R11252217,R11252217_,R11252217_
B09802129,B09802129_,B09802129_
B08A02039,B08A02039_,B08A02039_
B10A07023,B10A07023_,B10A07023_
B11402043,B11402043_,B11402043_
R10944026,R10944026_,R10944026_
R11255033,R11255033_,R11255033_
B06204081,B06204081_,B06204081_
B10401017,B10401017_,B10401017_
B11603006,B11603006_,B11603006_
B11401056,B11401056_,B11401056_
B10402010,B10402010_,B10402010_
R10632089,R10632089_,R10632089_
F10945026,F10945026_,F10945026_
B10602638,B10602638_,B10602638_
B08A07033,B08A07033_,B08A07033_
B09707028,B09707028_,B09707028_
B09607028,B09607028_,B09607028_
B11201045,B11201045_,B11201045_
R11643142,R11643142_,R11643142_
R07221039,R07221039_,R07221039_
B09501330,B09501330_,B09501330_
B11903065,B11903065_,B11903065_
R11942022,R11942022_,R11942022_
R10243118,R10243118_,R10243118_
B11611A01,B11611A01_,B11611A01_
B11603010,B11603010_,B11603010_
B10207013,B10207013_,B10207013_
B09907074,B09907074_,B09907074_
B08902033,B08902033_,B08902033_
B10703065,B10703065_,B10703065_
R11A21043,R11A21043_,R11A21043_
R10226005,R10226005_,R10226005_
R11221001,R11221001_,R11221001_
B10201029,B10201029_,B10201029_
B11901126,B11901126_,B11901126_
B10303137,B10303137_,B10303137_
B11905007,B11905007_,B11905007_
B09901168,B09901168_,B09901168_
R11520016,R11520016_,R11520016_
B09900039,B09900039_,B09900039_
R11H44081,R11H44081_,R11H44081_
B09908024,B09908024_,B09908024_
B10302019,B10302019_,B10302019_
B08A06044,B08A06044_,B08A06044_
B10102002,B10102002_,B10102002_
R11621025,R11621025_,R11621025_
R11H42170,R11H42170_,R11H42170_
B11613042,B11613042_,B11613042_
R10525004,R10525004_,R10525004_
B11501108,B11501108_,B11501108_
B10403028,B10403028_,B10403028_
B09601011,B09601011_,B09601011_
R10528004,R10528004_,R10528004_
B11700047,B11700047_,B11700047_
R10A24038,R10A24038_,R10A24038_
B10502717,B10502717_,B10502717_
B11302031,B11302031_,B11302031_
R10443015,R10443015_,R10443015_
B10206041,B10206041_,B10206041_
R11251016,R11251016_,R11251016_
B06201001,B06201001_,B06201001_
B09A01159,B09A01159_,B09A01159_
B10703050,B10703050_,B10703050_
R11H47036,R11H47036_,R11H47036_
B11607052,B11607052_,B11607052_
B08302150,B08302150_,B08302150_
B09403036,B09403036_,B09403036_
R11743036,R11743036_,R11743036_
B09403015,B09403015_,B09403015_
B11202127,B11202127_,B11202127_
B11402150,B11402150_,B11402150_
B08205036,B08205036_,B08205036_
R08124093,R08124093_,R08124093_
B08201026,B08201026_,B08201026_
B08701052,B08701052_,B08701052_
B09700047,B09700047_,B09700047_
B11506023,B11506023_,B11506023_
B08901015,B08901015_,B08901015_
B11B01001,B11B01001_,B11B01001_
B09104026,B09104026_,B09104026_
B11611037,B11611037_,B11611037_
D03948015,D03948015_,D03948015_
B09401072,B09401072_,B09401072_
B10601026,B10601026_,B10601026_
F09442025,F09442025_,F09442025_
B09908056,B09908056_,B09908056_
R10523142,R10523142_,R10523142_
B11619021,B11619021_,B11619021_
R11621026,R11621026_,R11621026_
B10702022,B10702022_,B10702022_
B10702119,B10702119_,B10702119_
R10B41060,R10B41060_,R10B41060_
B11408015,B11408015_,B11408015_
B09404013,B09404013_,B09404013_
B11104047,B11104047_,B11104047_
B11205035,B11205035_,B11205035_
B10602029,B10602029_,B10602029_
F09449011,F09449011_,F09449011_
B11203044,B11203044_,B11203044_
R09421143,R09421143_,R09421143_
B10701330,B10701330_,B10701330_
B11311098,B11311098_,B11311098_
B11601231,B11601231_,B11601231_
B08A02022,B08A02022_,B08A02022_
D09B42021,D09B42021_,D09B42021_
B11207022,B11207022_,B11207022_
B11405016,B11405016_,B11405016_
R11122159,R11122159_,R11122159_
B08801211,B08801211_,B08801211_
B11209019,B11209019_,B11209019_
B11901204,B11901204_,B11901204_
R10523022,R10523022_,R10523022_
B08702339,B08702339_,B08702339_
B11601102,B11601102_,B11601102_
B10A03082,B10A03082_,B10A03082_
B09301018,B09301018_,B09301018_
B11100039,B11100039_,B11100039_
B08502056,B08502056_,B08502056_
B11611098,B11611098_,B11611098_
B10408015,B10408015_,B10408015_
B11902011,B11902011_,B11902011_
F09442011,F09442011_,F09442011_
B10701346,B10701346_,B10701346_
B10706005,B10706005_,B10706005_
B09901004,B09901004_,B09901004_
B10203042,B10203042_,B10203042_
B09401240,B09401240_,B09401240_
B11801102,B11801102_,B11801102_
B11201053,B11201053_,B11201053_
R11255032,R11255032_,R11255032_
R10641143,R10641143_,R10641143_
B09701012,B09701012_,B09701012_
R11645033,R11645033_,R11645033_
B10503116,B10503116_,B10503116_
B09509026,B09509026_,B09509026_
B11702019,B11702019_,B11702019_
B09401053,B09401053_,B09401053_
B10A02016,B10A02016_,B10A02016_
B05305039,B05305039_,B05305039_
R10941029,R10941029_,R10941029_
R09626044,R09626044_,R09626044_
B10907074,B10907074_,B10907074_
B10104017,B10104017_,B10104017_
B10705028,B10705028_,B10705028_
R10723082,R10723082_,R10723082_
B11302102,B11302102_,B11302102_
B08A09019,B08A09019_,B08A09019_
B09107044,B09107044_,B09107044_
B10702159,B10702159_,B10702159_
B08901026,B08901026_,B08901026_
B07408015,B07408015_,B07408015_
B06401004,B06401004_,B06401004_
R11H41143,R11H41143_,R11H41143_
B10702119,B10702119_,B10702119_
R11647028,R11647028_,R11647028_
B10506035,B10506035_,B10506035_
B11107210,B11107210_,B11107210_
B09405022,B09405022_,B09405022_
F09542010,F09542010_,F09542010_
B10201043,B10201043_,B10201043_
R11225017,R11225017_,R11225017_
B10302010,B10302010_,B10302010_
B11101046,B11101046_,B11101046_
B10201026,B10201026_,B10201026_
B11302125,B11302125_,B11302125_
R11H41010,R11H41010_,R11H41010_
R11H42070,R11H42070_,R11H42070_
B10102033,B10102033_,B10102033_
B10A02033,B10A02033_,B10A02033_
B11101207,B11101207_,B11101207_
B11605014,B11605014_,B11605014_
B09401037,B09401037_,B09401037_
B10617055,B10617055_,B10617055_
R11A22125,R11A22125_,R11A22125_
B11616023,B11616023_,B11616023_
B09A03152,B09A03152_,B09A03152_
B11505026,B11505026_,B11505026_
B09A05024,B09A05024_,B09A05024_
B10607052,B10607052_,B10607052_
R11625020,R11625020_,R11625020_
R11941025,R11941025_,R11941025_
B09903137,B09903137_,B09903137_
B11901153,B11901153_,B11901153_
B11108312,B11108312_,B11108312_
B10A02019,B10A02019_,B10A02019_
B09103076,B09103076_,B09103076_
T11301006,T11301006_,T11301006_
R10223035,R10223035_,R10223035_
B11505022,B11505022_,B11505022_
B10403003,B10403003_,B10403003_
B11403082,B11403082_,B11403082_
B08903057,B08903057_,B08903057_
B09607055,B09607055_,B09607055_
R11121141,R11121141_,R11121141_
F08923010,F08923010_,F08923010_
F07441092,F07441092_,F07441092_
B10508037,B10508037_,B10508037_
B08208015,B08208015_,B08208015_
R10A26044,R10A26044_,R10A26044_
B11403142,B11403142_,B11403142_
B08319026,B08319026_,B08319026_
B10701120,B10701120_,B10701120_
B09303077,B09303077_,B09303077_
B11H01039,B11H01039_,B11H01039_
B10301026,B10301026_,B10301026_
B11902024,B11902024_,B11902024_
B10103048,B10103048_,B10103048_
B11613012,B11613012_,B11613012_
B09102302,B09102302_,B09102302_
R11223042,R11223042_,R11223042_
B08A05017,B08A05017_,B08A05017_
B11801109,B11801109_,B11801109_
B09304081,B09304081_,B09304081_
B08707030,B08707030_,B08707030_
B08902001,B08902001_,B08902001_
B08501012,B08501012_,B08501012_
R11522302,R11522302_,R11522302_
B11401043,B11401043_,B11401043_
B09A07044,B09A07044_,B09A07044_
B10207039,B10207039_,B10207039_
B10202208,B10202208_,B10202208_
B10702125,B10702125_,B10702125_
B11404081,B11404081_,B11404081_
B11B00016,B11B00016_,B11B00016_
R11522083,R11522083_,R11522083_
B08801001,B08801001_,B08801001_
B11502011,B11502011_,B11502011_
B09101022,B09101022_,B09101022_
B11H08024,B11H08024_,B11H08024_
B11903082,B11903082_,B11903082_
B10502009,B10502009_,B10502009_
R11942022,R11942022_,R11942022_
B06401240,B06401240_,B06401240_
R11523152,R11523152_,R11523152_
B10701091,B10701091_,B10701091_
B11502101,B11502101_,B11502101_
B11105022,B11105022_,B11105022_
B10205033,B10205033_,B10205033_
R11127019,R11127019_,R11127019_
B10903038,B10903038_,B10903038_
B10504070,B10504070_,B10504070_
B09A04051,B09A04051_,B09A04051_
R09421043,R09421043_,R09421043_
B09602106,B09602106_,B09602106_
B11702039,B11702039_,B11702039_
B08201126,B08201126_,B08201126_
B09407210,B09407210_,B09407210_
R11A22006,R11A22006_,R11A22006_
B11203077,B11203077_,B11203077_
B11402084,B11402084_,B11402084_
B11206023,B11206023_,B11206023_
B11706028,B11706028_,B11706028_
B10603082,B10603082_,B10603082_
B09A01070,B09A01070_,B09A01070_
B08901018,B08901018_,B08901018_
B09404026,B09404026_,B09404026_
B10104003,B10104003_,B10104003_
R11520011,R11520011_,R11520011_
B09405055,B09405055_,B09405055_
B10707055,B10707055_,B10707055_
B09101079,B09101079_,B09101079_
R10621037,R10621037_,R10621037_
B11401119,B11401119_,B11401119_
R10635035,R10635035_,R10635035_
B11102100,B11102100_,B11102100_
B10302027,B10302027_,B10302027_
R11A24081,R11A24081_,R11A24081_
B09407022,B09407022_,B09407022_
B11601006,B11601006_,B11601006_
B11208053,B11208053_,B11208053_
B09705032,B09705032_,B09705032_
F09442037,F09442037_,F09442037_
R11125009,R11125009_,R11125009_
B10708037,B10708037_,B10708037_
B10A03006,B10A03006_,B10A03006_
B09A02087,B09A02087_,B09A02087_
B10202605,B10202605_,B10202605_
B10202261,B10202261_,B10202261_
R10142036,R10142036_,R10142036_
B11402039,B11402039_,B11402039_
B11601060,B11601060_,B11601060_
B10602022,B10602022_,B10602022_
B10615004,B10615004_,B10615004_
B09903022,B09903022_,B09903022_
B10901018,B10901018_,B10901018_
B10A04038,B10A04038_,B10A04038_
B11407027,B11407027_,B11407027_
B09901026,B09901026_,B09901026_
F09444047,F09444047_,F09444047_
R11929026,R11929026_,R11929026_
B10611101,B10611101_,B10611101_
B11402039,B11402039_,B11402039_
R10622100,R10622100_,R10622100_
B11901046,B11901046_,B11901046_
B11904119,B11904119_,B11904119_
B10702043,B10702043_,B10702043_
B11101102,B11101102_,B11101102_
B11305004,B11305004_,B11305004_
B11613009,B11613009_,B11613009_
B10702101,B10702101_,B10702101_
B08319019,B08319019_,B08319019_
B10302101,B10302101_,B10302101_
B09503057,B09503057_,B09503057_
B11401006,B11401006_,B11401006_
B10204025,B10204025_,B10204025_
B10A07054,B10A07054_,B10A07054_
B10201013,B10201013_,B10201013_
B08506023,B08506023_,B08506023_
B11H07074,B11H07074_,B11H07074_
B09613003,B09613003_,B09613003_
B11902106,B11902106_,B11902106_
R11929011,R11929011_,R11929011_
B10908118,B10908118_,B10908118_
B10509011,B10509011_,B10509011_
R10540012,R10540012_,R10540012_
B10A01216,B10A01216_,B10A01216_
B10304009,B10304009_,B10304009_
B11101043,B11101043_,B11101043_
R10143137,R10143137_,R10143137_
B11203038,B11203038_,B11203038_
B08313006,B08313006_,B08313006_
B10901019,B10901019_,B10901019_
B07106020,B07106020_,B07106020_
B10204012,B10204012_,B10204012_
R10B41012,R10B41012_,R10B41012_
B10908037,B10908037_,B10908037_
R10221075,R10221075_,R10221075_
B09508118,B09508118_,B09508118_
B11704012,B11704012_,B11704012_
B11613023,B11613023_,B11613023_
B09702125,B09702125_,B09702125_
B10706028,B10706028_,B10706028_
B10403038,B10403038_,B10403038_
R11521140,R11521140_,R11521140_
B11701140,B11701140_,B11701140_
B10707022,B10707022_,B10707022_
R10721309,R10721309_,R10721309_
R11322100,R11322100_,R11322100_
R10441126,R10441126_,R10441126_
B10701053,B10701053_,B10701053_
B10607030,B10607030_,B10607030_
B11203009,B11203009_,B11203009_
B10405004,B10405004_,B10405004_
B11506020,B11506020_,B11506020_
R11942025,R11942025_,R11942025_
B11404081,B11404081_,B11404081_
B09A07021,B09A07021_,B09A07021_
B11308053,B11308053_,B11308053_
B08701066,B08701066_,B08701066_
R11942011,R11942011_,R11942011_
B09A04038,B09A04038_,B09A04038_
B11101016,B11101016_,B11101016_
D10623003,D10623003_,D10623003_
B09601025,B09601025_,B09601025_
B09203036,B09203036_,B09203036_
R10B48015,R10B48015_,R10B48015_
B11612208,B11612208_,B11612208_
B08205016,B08205016_,B08205016_
R11253068,R11253068_,R11253068_
R10941212,R10941212_,R10941212_
B10203006,B10203006_,B10203006_
B11615055,B11615055_,B11615055_
B11H07210,B11H07210_,B11H07210_
B11209019,B11209019_,B11209019_
B11108037,B11108037_,B11108037_
R10631015,R10631015_,R10631015_
B11303020,B11303020_,B11303020_
B11901011,B11901011_,B11901011_
B10105022,B10105022_,B10105022_
B11701042,B11701042_,B11701042_
B11601168,B11601168_,B11601168_
R11322009,R11322009_,R11322009_
B10A04119,B10A04119_,B10A04119_
B10613023,B10613023_,B10613023_
B09304204,B09304204_,B09304204_
R09624049,R09624049_,R09624049_
B09401150,B09401150_,B09401150_
B09308056,B09308056_,B09308056_
B09502083,B09502083_,B09502083_
B10505009,B10505009_,B10505009_
R09B21120,R09B21120_,R09B21120_
B10703008,B10703008_,B10703008_
B09501047,B09501047_,B09501047_
R11944034,R11944034_,R11944034_
B10402115,B10402115_,B10402115_
B09506005,B09506005_,B09506005_
B10408032,B10408032_,B10408032_
B09901043,B09901043_,B09901043_
B10401808,B10401808_,B10401808_
B10702009,B10702009_,B10702009_
B11207055,B11207055_,B11207055_
R11H48025,R11H48025_,R11H48025_
B10403022,B10403022_,B10403022_
F08922302,F08922302_,F08922302_
B08808015,B08808015_,B08808015_
B08902010,B08902010_,B08902010_
B09502355,B09502355_,B09502355_
R10224026,R10224026_,R10224026_
R11522125,R11522125_,R11522125_
F09545022,F09545022_,F09545022_
B10209021,B10209021_,B10209021_
B08202126,B08202126_,B08202126_
B11403023,B11403023_,B11403023_
B11104038,B11104038_,B11104038_
B10703032,B10703032_,B10703032_
B09402824,B09402824_,B09402824_
B06205014,B06205014_,B06205014_
R11942302,R11942302_,R11942302_
B08303039,B08303039_,B08303039_
B09402261,B09402261_,B09402261_
B10A06020,B10A06020_,B10A06020_
B11402717,B11402717_,B11402717_
R10220039,R10220039_,R10220039_
R10A23044,R10A23044_,R10A23044_
B10B05060,B10B05060_,B10B05060_
R10B41091,R10B41091_,R10B41091_
B11613015,B11613015_,B11613015_
B11101049,B11101049_,B11101049_
B09503082,B09503082_,B09503082_
R10141042,R10141042_,R10141042_
B08803142,B08803142_,B08803142_
B10505022,B10505022_,B10505022_
B11701097,B11701097_,B11701097_
B10A01025,B10A01025_,B10A01025_
B11102039,B11102039_,B11102039_
B09A03038,B09A03038_,B09A03038_
B10102002,B10102002_,B10102002_
B09407054,B09407054_,B09407054_
B11701070,B11701070_,B11701070_
B11502302,B11502302_,B11502302_
B10901109,B10901109_,B10901109_
B11101102,B11101102_,B11101102_
B08701153,B08701153_,B08701153_
B09407033,B09407033_,B09407033_
B11403015,B11403015_,B11403015_
B11509019,B11509019_,B11509019_
R10443118,R10443118_,R10443118_
B11103068,B11103068_,B11103068_
B09602013,B09602013_,B09602013_
B08503042,B08503042_,B08503042_
B07A06020,B07A06020_,B07A06020_
B09303008,B09303008_,B09303008_
B11405020,B11405020_,B11405020_
R10524034,R10524034_,R10524034_
R11624017,R11624017_,R11624017_
B10701037,B10701037_,B10701037_
B10408025,B10408025_,B10408025_
R11621003,R11621003_,R11621003_
R11225022,R11225022_,R11225022_
B10201207,B10201207_,B10201207_
B10A02208,B10A02208_,B10A02208_
B09901216,B09901216_,B09901216_
B10701024,B10701024_,B10701024_
B09401010,B09401010_,B09401010_
B11401044,B11401044_,B11401044_
B09108024,B09108024_,B09108024_
R11943026,R11943026_,R11943026_
B08A02024,B08A02024_,B08A02024_
D05940027,D05940027_,D05940027_
B10504119,B10504119_,B10504119_
B09105032,B09105032_,B09105032_
B10A05014,B10A05014_,B10A05014_
R10143008,R10143008_,R10143008_
R11949015,R11949015_,R11949015_
B08314081,B08314081_,B08314081_
B11401072,B11401072_,B11401072_
B10405024,B10405024_,B10405024_
B10503008,B10503008_,B10503008_
B11H01026,B11H01026_,B11H01026_
B11202102,B11202102_,B11202102_
B11401159,B11401159_,B11401159_
B09601047,B09601047_,B09601047_
B09304035,B09304035_,B09304035_
B11302039,B11302039_,B11302039_
R10527054,R10527054_,R10527054_
R11323008,R11323008_,R11323008_
B11903009,B11903009_,B11903009_
R10241057,R10241057_,R10241057_
B10604013,B10604013_,B10604013_
B11202031,B11202031_,B11202031_
B11807039,B11807039_,B11807039_
B10601016,B10601016_,B10601016_
B10506033,B10506033_,B10506033_
R11A25005,R11A25005_,R11A25005_
B08101092,B08101092_,B08101092_
B08608025,B08608025_,B08608025_
B10202021,B10202021_,B10202021_
B11901017,B11901017_,B11901017_
B11704013,B11704013_,B11704013_
B11703012,B11703012_,B11703012_
R10943068,R10943068_,R10943068_
B11405026,B11405026_,B11405026_
B11501045,B11501045_,B11501045_
B11701043,B11701043_,B11701043_
B10101031,B10101031_,B10101031_
B11618024,B11618024_,B11618024_
R11522824,R11522824_,R11522824_
B10701011,B10701011_,B10701011_
B08203022,B08203022_,B08203022_
R10721012,R10721012_,R10721012_
R09421108,R09421108_,R09421108_
R11623040,R11623040_,R11623040_
B11404034,B11404034_,B11404034_
B11605020,B11605020_,B11605020_
R10521046,R10521046_,R10521046_
B09A01241,B09A01241_,B09A01241_
T11301029,T11301029_,T11301029_
B09302084,B09302084_,B09302084_
B11611004,B11611004_,B11611004_
B11404070,B11404070_,B11404070_
B11101041,B11101041_,B11101041_
B10705024,B10705024_,B10705024_
B10301098,B10301098_,B10301098_
B11902055,B11902055_,B11902055_
B11604012,B11604012_,B11604012_
B10A02142,B10A02142_,B10A02142_
B10204004,B10204004_,B10204004_
B11603003,B11603003_,B11603003_
B11401037,B11401037_,B11401037_
B10303045,B10303045_,B10303045_
B09A02119,B09A02119_,B09A02119_
B10702025,B10702025_,B10702025_
B09A04017,B09A04017_,B09A04017_
B11405005,B11405005_,B11405005_
B11408023,B11408023_,B11408023_
B10502125,B10502125_,B10502125_
R11942129,R11942129_,R11942129_
B09502150,B09502150_,B09502150_
B11608056,B11608056_,B11608056_
B10303008,B10303008_,B10303008_
R10523023,R10523023_,R10523023_
B09804012,B09804012_,B09804012_
R11942056,R11942056_,R11942056_
B10107020,B10107020_,B10107020_
F09445009,F09445009_,F09445009_
