,group_ID,user_ID,join_status,role,job
131,120,B08A03042,Join,Leader,Undecided
132,121,B10501347,Join,Leader,Undecided
133,122,F08922024,Join,Leader,Undecided
134,123,R11945024,Join,Leader,Undecided
135,124,B11H01061,Join,Leader,Undecided
136,125,B09601091,Join,Leader,Undecided
137,126,B11H02125,Join,Leader,Undecided
138,127,F09542033,Join,Leader,Undecided
139,128,B11301150,Join,Leader,Undecided
140,129,B10206041,Join,Leader,Undecided
141,130,B10405009,Join,Leader,Undecided
142,131,F09545005,Join,Leader,Undecided
143,131,B11602045,Join,Member,Undecided
144,132,B10401075,Join,Leader,Undecided
145,133,B08305022,Join,Leader,Undecided
146,134,B11207052,Join,Leader,Undecided
147,135,B10A05014,Join,Leader,Undecided
148,136,B11600011,Join,Leader,Undecided
149,137,B08304051,Join,Leader,Undecided
150,138,F09542127,Join,Leader,Undecided
151,139,B08702039,Join,Leader,Undecided
152,136,B11701097,Join,Member,Undecided
153,138,B08701165,Join,Member,Undecided
154,140,D05948053,Join,Leader,Undecided
155,141,D09B43035,Join,Leader,Undecided
156,142,B11601025,Join,Leader,Undecided
157,143,B12110039,Join,Leader,Undecided
158,144,B11102126,Join,Leader,Undecided
159,145,B08208015,Join,Leader,Undecided
160,146,R07221207,Join,Leader,Undecided
161,147,B09506041,Join,Leader,Undecided
162,148,B10703035,Join,Leader,Undecided
163,146,B11700027,Join,Member,Undecided
164,149,B11704009,Join,Leader,Undecided
165,150,B10501073,Join,Leader,Undecided
166,151,B11403057,Join,Leader,Undecided
167,152,R10540012,Join,Leader,Undecided
168,150,B10401259,Join,Member,Undecided
169,149,B10404081,Join,Member,Undecided
170,153,B10302100,Join,Leader,Undecided
171,154,R10948118,Join,Leader,Undecided
172,155,B09602217,Join,Leader,Undecided
173,156,B10408032,Join,Leader,Undecided
174,157,B10305017,Join,Leader,Undecided
175,156,B12111011,Join,Member,Undecided
176,155,B10508032,Join,Member,Undecided
177,158,B10502151,Join,Leader,Undecided
178,159,B06402217,Join,Leader,Undecided
179,160,B11401056,Join,Leader,Undecided
180,158,B11101025,Join,Member,Undecided
181,160,R10523028,Join,Member,Undecided
182,160,R11441029,Join,Member,Undecided
183,160,B09804093,Join,Member,Undecided
184,159,B11618015,Join,Member,Undecided
185,160,B09A07028,Join,Member,Undecided
186,159,B10407019,Join,Member,Undecided
187,159,R11123044,Join,Member,Undecided
188,159,R11942070,Join,Member,Undecided
189,158,B11701039,Join,Member,Undecided
190,161,B09303023,Join,Leader,Undecided
191,162,B08702045,Join,Leader,Undecided
192,163,B08903082,Join,Leader,Undecided
193,164,B10102217,Join,Leader,Undecided
194,161,B08503032,Join,Member,Undecided
195,165,B10401026,Join,Leader,Undecided
196,166,B10607013,Join,Leader,Undecided
197,167,B09502013,Join,Leader,Undecided
198,168,B10201043,Join,Leader,Undecided
199,169,B10701020,Join,Leader,Undecided
200,170,B10804070,Join,Leader,Undecided
201,166,B08203018,Join,Member,Undecided
202,170,B05309007,Join,Member,Undecided
203,167,B08611045,Join,Member,Undecided
204,168,B07402014,Join,Member,Undecided
205,171,B10102005,Join,Leader,Undecided
206,172,B09905004,Join,Leader,Undecided
207,173,B08A01048,Join,Leader,Undecided
208,174,R11622605,Join,Leader,Undecided
209,175,R11942824,Join,Leader,Undecided
210,173,B05301015,Join,Member,Undecided
211,172,B11611240,Join,Member,Undecided
212,175,R09B26020,Join,Member,Undecided
213,176,B11704011,Join,Leader,Undecided
214,177,B09907021,Join,Leader,Undecided
215,178,B11613042,Join,Leader,Undecided
216,179,R11H42009,Join,Leader,Undecided
217,180,B10407036,Join,Leader,Undecided
218,181,B11601011,Join,Leader,Undecided
219,181,B08702102,Join,Member,Undecided
220,179,R11H42010,Join,Member,Undecided
221,177,B10105033,Join,Member,Undecided
222,182,B10505024,Join,Leader,Undecided
223,183,B10307027,Join,Leader,Undecided
224,184,B10408032,Join,Leader,Undecided
225,185,R10622302,Join,Leader,Undecided
226,186,B07107033,Join,Leader,Undecided
227,187,B10301102,Join,Leader,Undecided
228,188,B11615016,Join,Leader,Undecided
229,189,R11527030,Join,Leader,Undecided
230,190,B11401126,Join,Leader,Undecided
231,191,B11902106,Join,Leader,Undecided
232,192,R11253116,Join,Leader,Undecided
233,193,B11501111,Join,Leader,Undecided
234,194,B09507210,Join,Leader,Undecided
235,195,B07201016,Join,Leader,Undecided
236,196,B09305028,Join,Leader,Undecided
237,197,B11313023,Join,Leader,Undecided
238,198,D01944026,Join,Leader,Undecided
239,187,R11123044,Join,Member,Undecided
240,182,R10722302,Join,Member,Undecided
241,191,B09505060,Join,Member,Undecided
242,186,B11102001,Join,Member,Undecided
243,184,B10301204,Join,Member,Undecided
244,192,B08502027,Join,Member,Undecided
245,198,B10602170,Join,Member,Undecided
246,197,R11945060,Join,Member,Undecided
247,192,R09421057,Join,Member,Undecided
248,183,B10A01119,Join,Member,Undecided
249,185,B09301211,Join,Member,Undecided
250,185,B11401046,Join,Member,Undecided
251,182,B11603077,Join,Member,Undecided
252,192,R11253022,Join,Member,Undecided
253,183,B10202037,Join,Member,Undecided
254,182,R11127028,Join,Member,Undecided
255,198,B10403022,Join,Member,Undecided
256,196,R11H49080,Join,Member,Undecided
257,194,B11612016,Join,Member,Undecided
258,183,B07102045,Join,Member,Undecided
259,185,R11521052,Join,Member,Undecided
260,194,B09606035,Join,Member,Undecided
261,196,B11201003,Join,Member,Undecided
262,198,B11102129,Join,Member,Undecided
263,183,B10601216,Join,Member,Undecided
264,184,R11941204,Join,Member,Undecided
265,197,B11615024,Join,Member,Undecided
266,196,B08201240,Join,Member,Undecided
267,197,B06403044,Join,Member,Undecided
268,182,B08701019,Join,Member,Undecided
269,193,B10505004,Join,Member,Undecided
270,185,B10A02055,Join,Member,Undecided
271,190,B10601053,Join,Member,Undecided
272,187,R11641025,Join,Member,Undecided
273,195,B10203050,Join,Member,Undecided
274,189,B10501026,Join,Member,Undecided
275,197,B10309021,Join,Member,Undecided
276,188,F08923137,Join,Member,Undecided
277,193,B11602302,Join,Member,Undecided
278,196,R11121141,Join,Member,Undecided
279,194,B11101019,Join,Member,Undecided
280,191,B10701040,Join,Member,Undecided
281,193,B09A04047,Join,Member,Undecided
282,195,B11902106,Join,Member,Undecided
283,195,B09618003,Join,Member,Undecided
284,184,B11103082,Join,Member,Undecided
285,193,B08104049,Join,Member,Undecided
286,190,R11A22027,Join,Member,Undecided
287,195,R11520016,Join,Member,Undecided
288,187,B09506035,Join,Member,Undecided
289,190,R11A21217,Join,Member,Undecided
290,191,R10947074,Join,Member,Undecided
291,198,F09541111,Join,Member,Undecided
292,190,B11103150,Join,Member,Undecided
293,189,B11101037,Join,Member,Undecided
294,186,R10521044,Join,Member,Undecided
295,194,B11507052,Join,Member,Undecided
296,184,B09701111,Join,Member,Undecided
297,188,B09A01037,Join,Member,Undecided
298,186,R11941168,Join,Member,Undecided
299,186,D05942016,Join,Member,Undecided
300,191,B10605055,Join,Member,Undecided
301,188,B09503045,Join,Member,Undecided
302,189,B11401120,Join,Member,Undecided
303,199,R10224047,Join,Leader,Undecided
304,200,R10223035,Join,Leader,Undecided
305,201,B10201150,Join,Leader,Undecided
306,202,B08901241,Join,Leader,Undecided
307,203,B11401072,Join,Leader,Undecided
308,204,R09420011,Join,Leader,Undecided
309,205,B10303055,Join,Leader,Undecided
310,206,B10B05005,Join,Leader,Undecided
311,207,B10201216,Join,Leader,Undecided
312,208,B10505024,Join,Leader,Undecided
313,209,B10701056,Join,Leader,Undecided
314,210,B09701048,Join,Leader,Undecided
315,211,B11701011,Join,Leader,Undecided
316,212,R10147055,Join,Leader,Undecided
317,213,B11701025,Join,Leader,Undecided
318,214,R11741120,Join,Leader,Undecided
319,215,B11204026,Join,Leader,Undecided
320,216,B11702125,Join,Leader,Undecided
321,208,B10301004,Join,Member,Undecided
322,202,B10203015,Join,Member,Undecided
323,206,B09901150,Join,Member,Undecided
324,209,B10A01026,Join,Member,Undecided
325,213,R09424035,Join,Member,Undecided
326,209,B11702036,Join,Member,Undecided
327,206,B10702126,Join,Member,Undecided
328,199,B11619021,Join,Member,Undecided
329,204,B11901091,Join,Member,Undecided
330,213,B11600016,Join,Member,Undecided
331,208,R10621049,Join,Member,Undecided
332,210,B11202605,Join,Member,Undecided
333,216,R11122159,Join,Member,Undecided
334,204,B09A02087,Join,Member,Undecided
335,202,R10542045,Join,Member,Undecided
336,208,B11406005,Join,Member,Undecided
337,201,B09607030,Join,Member,Undecided
338,206,B07203068,Join,Member,Undecided
339,207,B07A03068,Join,Member,Undecided
340,213,B10903020,Join,Member,Undecided
341,202,B09507210,Join,Member,Undecided
342,207,R11252261,Join,Member,Undecided
343,207,R11221082,Join,Member,Undecided
344,215,B09303048,Join,Member,Undecided
345,204,B10201043,Join,Member,Undecided
346,207,B10103015,Join,Member,Undecided
347,203,B09502010,Join,Member,Undecided
348,203,B10101048,Join,Member,Undecided
349,203,F07448003,Join,Member,Undecided
350,205,B11408015,Join,Member,Undecided
351,206,B11601102,Join,Member,Undecided
352,208,B08311346,Join,Member,Undecided
353,205,B11605039,Join,Member,Undecided
354,199,B09903039,Join,Member,Undecided
355,213,B10603082,Join,Member,Undecided
356,209,B10408025,Join,Member,Undecided
357,214,B10604017,Join,Member,Undecided
358,212,B11H03032,Join,Member,Undecided
359,202,R09624049,Join,Member,Undecided
360,214,B11603020,Join,Member,Undecided
361,203,B10B02070,Join,Member,Undecided
362,209,B09402261,Join,Member,Undecided
363,216,B10601018,Join,Member,Undecided
364,210,B11501026,Join,Member,Undecided
365,200,B09103010,Join,Member,Undecided
366,216,B10601041,Join,Member,Undecided
367,205,B10502217,Join,Member,Undecided
368,204,B10502025,Join,Member,Undecided
369,201,B09403055,Join,Member,Undecided
370,212,R10143036,Join,Member,Undecided
371,214,B09303045,Join,Member,Undecided
372,200,B10201010,Join,Member,Undecided
373,216,B08601101,Join,Member,Undecided
374,211,R11641048,Join,Member,Undecided
375,205,B09509021,Join,Member,Undecided
376,214,B10801043,Join,Member,Undecided
377,215,B11103035,Join,Member,Undecided
378,200,B09806020,Join,Member,Undecided
379,211,B11402031,Join,Member,Undecided
380,199,R10221047,Join,Member,Undecided
381,215,B11902151,Join,Member,Undecided
382,201,R11124016,Join,Member,Undecided
383,201,B08614011,Join,Member,Undecided
384,199,B08A02355,Join,Member,Undecided
385,210,R11441016,Join,Member,Undecided
386,200,B09801013,Join,Member,Undecided
387,210,B11200015,Join,Member,Undecided
388,212,R11122102,Join,Member,Undecided
389,215,B08611025,Join,Member,Undecided
390,212,B08604026,Join,Member,Undecided
391,217,B11606041,Join,Leader,Undecided
392,218,B11612355,Join,Leader,Undecided
393,219,B10305004,Join,Leader,Undecided
394,219,B11402101,Join,Member,Undecided
395,218,B10601048,Join,Member,Undecided
396,218,R07221207,Join,Member,Undecided
397,218,B11702160,Join,Member,Undecided
398,217,R09424035,Join,Member,Undecided
399,218,B08501150,Join,Member,Undecided
400,219,B10509021,Join,Member,Undecided
401,219,B11201037,Join,Member,Undecided
402,219,R11222010,Join,Member,Undecided
403,220,B11614003,Join,Leader,Undecided
404,221,B09405035,Join,Leader,Undecided
405,222,B09303045,Join,Leader,Undecided
406,223,B10301066,Join,Leader,Undecided
407,224,B10601019,Join,Leader,Undecided
408,225,B09304119,Join,Leader,Undecided
409,226,B09601153,Join,Leader,Undecided
410,227,B11704011,Join,Leader,Undecided
411,221,R11252605,Join,Member,Undecided
412,225,B10204051,Join,Member,Undecided
413,226,B10302824,Join,Member,Undecided
414,220,B08605015,Join,Member,Undecided
415,220,R10225014,Join,Member,Undecided
416,220,R11947039,Join,Member,Undecided
417,226,B10306020,Join,Member,Undecided
418,220,B11701126,Join,Member,Undecided
419,226,B11508024,Join,Member,Undecided
420,221,B11313036,Join,Member,Undecided
421,227,B10308003,Join,Member,Undecided
422,221,B10702106,Join,Member,Undecided
423,226,B09904017,Join,Member,Undecided
424,221,B08101168,Join,Member,Undecided
425,222,B09902170,Join,Member,Undecided
426,227,B10204004,Join,Member,Undecided
427,224,B11101044,Join,Member,Undecided
428,222,R11A21041,Join,Member,Undecided
429,225,B10302001,Join,Member,Undecided
430,222,R09623023,Join,Member,Undecided
431,224,R11942109,Join,Member,Undecided
432,224,B09902029,Join,Member,Undecided
433,222,B08505022,Join,Member,Undecided
434,227,B10604017,Join,Member,Undecided
435,224,B10102027,Join,Member,Undecided
436,223,R11251053,Join,Member,Undecided
437,223,B11105017,Join,Member,Undecided
438,225,B08612091,Join,Member,Undecided
439,227,B09608003,Join,Member,Undecided
440,228,B11601026,Join,Leader,Undecided
441,229,B09405033,Join,Leader,Undecided
442,230,B08502339,Join,Leader,Undecided
443,231,B10807023,Join,Leader,Undecided
444,232,B09601019,Join,Leader,Undecided
445,233,B10301001,Join,Leader,Undecided
446,234,R10321015,Join,Leader,Undecided
447,235,R09423026,Join,Leader,Undecided
448,236,R08122013,Join,Leader,Undecided
449,234,B10603049,Join,Member,Undecided
450,232,B11403039,Join,Member,Undecided
451,236,R11252083,Join,Member,Undecided
452,236,B08301082,Join,Member,Undecided
453,229,B10704051,Join,Member,Undecided
454,234,R10941346,Join,Member,Undecided
455,232,R11252054,Join,Member,Undecided
456,236,B09401001,Join,Member,Undecided
457,230,B10204034,Join,Member,Undecided
458,235,B10A03150,Join,Member,Undecided
459,234,B09601016,Join,Member,Undecided
460,231,R11H41102,Join,Member,Undecided
461,235,B08701015,Join,Member,Undecided
462,230,R11322100,Join,Member,Undecided
463,230,R11921808,Join,Member,Undecided
464,233,R11747057,Join,Member,Undecided
465,232,B10201026,Join,Member,Undecided
466,235,B11608015,Join,Member,Undecided
467,229,R11522125,Join,Member,Undecided
468,236,F09442036,Join,Member,Undecided
469,231,B10702036,Join,Member,Undecided
470,230,B11604012,Join,Member,Undecided
471,231,R11527039,Join,Member,Undecided
472,229,B09707039,Join,Member,Undecided
473,235,R11321046,Join,Member,Undecided
474,228,B10103116,Join,Member,Undecided
475,234,R11942025,Join,Member,Undecided
476,231,R11322056,Join,Member,Undecided
477,229,R11921045,Join,Member,Undecided
478,233,B11705034,Join,Member,Undecided
479,228,B11404004,Join,Member,Undecided
480,232,B10603012,Join,Member,Undecided
481,228,B09901049,Join,Member,Undecided
482,237,B08309080,Join,Leader,Undecided
483,238,B11708037,Join,Leader,Undecided
484,239,R11521111,Join,Leader,Undecided
485,240,R10544011,Join,Leader,Undecided
486,241,B08901309,Join,Leader,Undecided
487,242,B10705033,Join,Leader,Undecided
488,243,B10101019,Join,Leader,Undecided
489,244,B11401141,Join,Leader,Undecided
490,245,B09902054,Join,Leader,Undecided
491,246,B10601120,Join,Leader,Undecided
492,247,R11625016,Join,Leader,Undecided
493,248,B09502054,Join,Leader,Undecided
494,246,B09101061,Join,Member,Undecided
495,246,R11253116,Join,Member,Undecided
496,246,B11405022,Join,Member,Undecided
497,247,R11223042,Join,Member,Undecided
498,247,B12110039,Join,Member,Undecided
499,247,B08A02024,Join,Member,Undecided
500,246,B11404081,Join,Member,Undecided
501,247,B11B02717,Join,Member,Undecided
502,249,B10402005,Join,Leader,Undecided
503,250,B09901240,Join,Leader,Undecided
504,251,R11943036,Join,Leader,Undecided
505,252,B11101019,Join,Leader,Undecided
506,253,R11945060,Join,Leader,Undecided
507,254,B11102019,Join,Leader,Undecided
508,254,B09302261,Join,Member,Undecided
509,253,R11529080,Join,Member,Undecided
510,252,B10605055,Join,Member,Undecided
511,255,B09101066,Join,Leader,Undecided
512,256,B10502115,Join,Leader,Undecided
513,257,B10602022,Join,Leader,Undecided
514,257,B11705017,Join,Member,Undecided
515,256,B11304204,Join,Member,Undecided
516,255,R10B42101,Join,Member,Undecided
517,256,B10501079,Join,Member,Undecided
518,257,B11602025,Join,Member,Undecided
519,257,B11301330,Join,Member,Undecided
520,257,B10608015,Join,Member,Undecided
521,256,R11128312,Join,Member,Undecided
522,256,R11941022,Join,Member,Undecided
523,255,B08501039,Join,Member,Undecided
524,255,B07203118,Join,Member,Undecided
525,258,B10615004,Join,Leader,Undecided
526,259,B10A01079,Join,Leader,Undecided
527,260,B11202638,Join,Leader,Undecided
528,258,B11H04038,Join,Member,Undecided
529,260,B09705039,Join,Member,Undecided
530,259,B09707039,Join,Member,Undecided
531,258,B10503065,Join,Member,Undecided
532,260,B11403068,Join,Member,Undecided
533,259,B11701165,Join,Member,Undecided
534,260,B11611006,Join,Member,Undecided
535,259,B08617030,Join,Member,Undecided
536,260,B10501019,Join,Member,Undecided
537,261,R10722824,Join,Leader,Undecided
538,262,B10701309,Join,Leader,Undecided
539,263,B10A06020,Join,Leader,Undecided
540,262,R10523044,Join,Member,Undecided
541,261,B10402083,Join,Member,Undecided
542,262,B09A04003,Join,Member,Undecided
543,262,B11701016,Join,Member,Undecided
544,262,D01943015,Join,Member,Undecided
545,263,B11505005,Join,Member,Undecided
546,261,B10705039,Join,Member,Undecided
547,261,B10102127,Join,Member,Undecided
548,264,R11222006,Join,Leader,Undecided
549,265,B09609011,Join,Leader,Undecided
550,266,B08502014,Join,Leader,Undecided
551,267,B11503042,Join,Leader,Undecided
552,268,B09703039,Join,Leader,Undecided
553,269,B11612013,Join,Leader,Undecided
554,268,B09503035,Join,Member,Undecided
555,266,B11611011,Join,Member,Undecided
556,264,B09301120,Join,Member,Undecided
557,269,B10A01102,Join,Member,Undecided
558,270,R11941026,Join,Leader,Undecided
559,271,R11441098,Join,Leader,Undecided
560,272,R10B44011,Join,Leader,Undecided
561,273,B11612208,Join,Leader,Undecided
562,274,B10407027,Join,Leader,Undecided
563,275,R10725055,Join,Leader,Undecided
564,276,B10601140,Join,Leader,Undecided
565,277,R10543044,Join,Leader,Undecided
566,278,B09503035,Join,Leader,Undecided
567,279,B11601004,Join,Leader,Undecided
568,280,B11108023,Join,Leader,Undecided
569,281,B08102022,Join,Leader,Undecided
570,282,B10303118,Join,Leader,Undecided
571,283,D10624051,Join,Leader,Undecided
572,284,B10201141,Join,Leader,Undecided
573,285,B11407027,Join,Leader,Undecided
574,286,B10302019,Join,Leader,Undecided
575,287,R10441010,Join,Leader,Undecided
576,275,D09B44081,Join,Member,Undecided
577,274,B09901017,Join,Member,Undecided
578,280,R10631057,Join,Member,Undecided
579,285,B11501043,Join,Member,Undecided
580,286,B11401072,Join,Member,Undecided
581,274,B10402045,Join,Member,Undecided
582,273,R10542083,Join,Member,Undecided
583,276,B09103076,Join,Member,Undecided
584,286,R10223035,Join,Member,Undecided
585,278,B08702125,Join,Member,Undecided
586,287,B10700011,Join,Member,Undecided
587,278,B11501330,Join,Member,Undecided
588,285,B08902029,Join,Member,Undecided
589,280,R11H41015,Join,Member,Undecided
590,278,B08205007,Join,Member,Undecided
591,277,B11403082,Join,Member,Undecided
592,283,R11254119,Join,Member,Undecided
593,274,R11524013,Join,Member,Undecided
594,273,D10623057,Join,Member,Undecided
595,286,B11501168,Join,Member,Undecided
596,284,B11302037,Join,Member,Undecided
597,287,B11405028,Join,Member,Undecided
598,285,R10923040,Join,Member,Undecided
599,271,R11628023,Join,Member,Undecided
600,280,R10241004,Join,Member,Undecided
601,276,R11643142,Join,Member,Undecided
602,274,B10101056,Join,Member,Undecided
603,281,B10201010,Join,Member,Undecided
604,287,B10408056,Join,Member,Undecided
605,285,B11H07030,Join,Member,Undecided
606,277,B09701120,Join,Member,Undecided
607,281,R10721079,Join,Member,Undecided
608,283,B09505004,Join,Member,Undecided
609,278,B11401037,Join,Member,Undecided
610,284,B09A01006,Join,Member,Undecided
611,272,B07203008,Join,Member,Undecided
612,270,R10921102,Join,Member,Undecided
613,283,B11601011,Join,Member,Undecided
614,270,R11225022,Join,Member,Undecided
615,276,B11402087,Join,Member,Undecided
616,276,D03941082,Join,Member,Undecided
617,271,B11305026,Join,Member,Undecided
618,286,R10523020,Join,Member,Undecided
619,273,B09702056,Join,Member,Undecided
620,284,R11942824,Join,Member,Undecided
621,275,R10521015,Join,Member,Undecided
622,287,B10303008,Join,Member,Undecided
623,273,B11604016,Join,Member,Undecided
624,281,B11611068,Join,Member,Undecided
625,270,B10707023,Join,Member,Undecided
626,279,B11501045,Join,Member,Undecided
627,284,F08526033,Join,Member,Undecided
628,283,B09611075,Join,Member,Undecided
629,282,B08702056,Join,Member,Undecided
630,275,B11603020,Join,Member,Undecided
631,280,B06407020,Join,Member,Undecided
632,270,B10702001,Join,Member,Undecided
633,277,R11A22036,Join,Member,Undecided
634,272,B10104081,Join,Member,Undecided
635,277,B11402261,Join,Member,Undecided
636,275,B08614009,Join,Member,Undecided
637,279,B10501259,Join,Member,Undecided
638,272,B10707021,Join,Member,Undecided
639,282,B11505055,Join,Member,Undecided
640,281,B10705036,Join,Member,Undecided
641,271,B11901102,Join,Member,Undecided
642,279,B10102355,Join,Member,Undecided
643,272,B09509026,Join,Member,Undecided
644,282,B09501010,Join,Member,Undecided
645,288,B06207044,Join,Leader,Undecided
646,289,B09505003,Join,Leader,Undecided
647,290,B10204012,Join,Leader,Undecided
648,291,R11H41015,Join,Leader,Undecided
649,292,R11321330,Join,Leader,Undecided
650,293,R11524013,Join,Leader,Undecided
651,294,B08611141,Join,Leader,Undecided
652,295,B09404017,Join,Leader,Undecided
653,296,R11255035,Join,Leader,Undecided
654,295,R11H42119,Join,Member,Undecided
655,291,B07201025,Join,Member,Undecided
656,295,B11B02010,Join,Member,Undecided
657,290,B10603020,Join,Member,Undecided
658,296,B11611165,Join,Member,Undecided
659,292,B09302010,Join,Member,Undecided
660,290,B09401102,Join,Member,Undecided
661,292,B11702302,Join,Member,Undecided
662,296,B11408312,Join,Member,Undecided
663,288,B11707074,Join,Member,Undecided
664,292,R10522045,Join,Member,Undecided
665,294,R11528037,Join,Member,Undecided
666,293,B09702054,Join,Member,Undecided
667,293,B09902054,Join,Member,Undecided
668,292,B10406015,Join,Member,Undecided
669,289,B06401240,Join,Member,Undecided
670,294,R09942006,Join,Member,Undecided
671,296,B09902043,Join,Member,Undecided
672,293,B10202217,Join,Member,Undecided
673,295,B10606041,Join,Member,Undecided
674,294,B11203036,Join,Member,Undecided
675,296,B09901216,Join,Member,Undecided
676,295,R11945016,Join,Member,Undecided
677,289,B10404051,Join,Member,Undecided
678,288,B11307036,Join,Member,Undecided
679,291,B10701309,Join,Member,Undecided
