group_ID,publisher_ID,publish_time,content
17056,B11105022,2023/12/7 12:24,今天在總圖討論室開會
4895,B09405033,2023/10/5 02:32,今天晚上八點半開會
6435,R09942142,2023/9/8 12:15,今天晚上八點開會
7682,B11904049,2023/10/17 01:52,今天晚上八點開會
5893,B08502009,2023/9/25 20:57,今天晚上九點開會
2052,B08A01204,2023/10/22 03:00,今天討論工作分配
9272,B09901057,2023/12/2 06:10,今天討論報告主題
8704,B11611066,2023/9/25 11:59,今天開會完成報告書
19670,R11622031,2023/12/1 05:34,今天晚上十點開會
8561,B09502029,2023/10/4 06:11,今天晚上十點開會
3003,B10701016,2023/11/25 13:14,今天在總圖討論室開會
8964,B09105032,2023/10/25 00:45,今天在總圖討論室開會
19111,B11101212,2023/11/1 16:43,今天在綜合討論室開會
8499,B11601102,2023/9/25 04:18,今天討論報告主題
7198,B10803082,2023/11/30 10:54,今天在系管一樓開會
16929,B12110039,2023/10/3 01:08,今天討論實作方法
3020,B10308118,2023/9/7 12:37,今天在系管一樓開會
17887,B09A02011,2023/10/5 08:33,今天在星巴克開會
17713,R10541015,2023/9/9 07:12,今天討論報告主題
15213,B11402217,2023/10/5 03:55,今天討論工作分配
16559,B08205015,2023/9/30 23:12,今天開會完成報告書
18295,B10101011,2023/10/27 23:58,今天晚上九點開會
15889,B11301168,2023/11/11 22:10,今天晚上十點開會
15048,B08707A03,2023/10/18 08:22,今天在露易莎開會
2572,B08201231,2023/9/16 11:07,今天討論報告主題
13817,B11205020,2023/10/8 03:01,今天晚上九點開會
9563,R10547028,2023/11/30 22:40,今天在露易莎開會
13191,B07A06005,2023/11/9 23:05,今天討論工作分配
8272,B09101204,2023/10/27 07:51,今天晚上九點半開會
18079,B12112638,2023/9/21 22:32,今天在綜合討論室開會
456,B10704093,2023/9/5 22:09,今天討論工作分配
12906,B10702087,2023/9/18 07:47,今天開會完成報告書
12157,B09702011,2023/11/27 18:55,今天開會完成報告書
5460,B11408037,2023/11/13 06:44,今天在星巴克開會
5134,B11104081,2023/11/18 14:26,今天晚上九點開會
14702,B11401001,2023/11/22 09:20,今天開會完成報告書
19175,B09203003,2023/11/8 21:11,今天晚上十點開會
7569,B10401026,2023/11/12 23:55,今天討論實驗結果
7212,B09601259,2023/9/22 21:21,今天討論工作分配
11803,R07222010,2023/11/7 18:03,今天討論實驗結果
13034,B10203015,2023/10/11 01:46,今天晚上九點半開會
9410,B11609015,2023/11/17 16:53,今天在系管一樓開會
4283,F09441119,2023/11/11 18:19,今天在星巴克開會
2458,B09102043,2023/10/11 07:43,今天討論報告主題
14496,B08501006,2023/10/6 13:36,今天在系管一樓開會
12597,B10B05060,2023/9/12 23:27,今天討論報告主題
6840,B10201043,2023/12/7 05:51,今天晚上八點半開會
84,B09505004,2023/11/9 23:42,今天晚上九點半開會
823,R11742010,2023/10/9 11:24,今天晚上九點半開會
15056,B11313036,2023/12/4 14:58,今天討論實驗結果
6790,R11643008,2023/10/11 19:05,今天在星巴克開會
14717,B11201056,2023/11/9 22:53,今天晚上九點半開會
5535,B09907033,2023/10/13 23:12,今天討論實作方法
11862,B09A03049,2023/9/7 19:36,今天在綜合討論室開會
6869,B08702638,2023/12/6 16:01,今天晚上八點半開會
13625,R11252126,2023/10/27 04:27,今天討論實驗結果
16726,F07440012,2023/9/10 10:59,今天晚上十點開會
6683,B11401061,2023/9/13 18:09,今天討論實作方法
5138,R11252106,2023/12/10 12:13,今天晚上九點半開會
8746,D01942004,2023/11/19 08:52,今天討論實作方法
10839,R11922010,2023/12/7 00:55,今天晚上九點開會
15040,B08901168,2023/10/31 14:22,今天在綜合討論室開會
14197,R11743036,2023/9/12 09:25,今天晚上十點開會
3646,B11704013,2023/11/2 03:10,今天在綜合討論室開會
12755,B10601240,2023/10/14 13:00,今天晚上八點開會
19402,B11408024,2023/12/11 17:03,今天在綜合討論室開會
3802,B10502056,2023/11/9 09:51,今天在露易莎開會
9925,B08A04004,2023/10/21 20:32,今天開會完成報告書
3366,B10303065,2023/10/3 00:41,今天在系管一樓開會
11871,B10103048,2023/10/26 07:48,今天晚上九點半開會
801,B10102142,2023/11/22 09:10,今天晚上九點開會
7555,B11104013,2023/12/6 09:18,今天在總圖討論室開會
1919,R10541346,2023/12/2 09:23,今天在露易莎開會
11523,B12114013,2023/12/3 03:10,今天開會完成報告書
8215,B11H05015,2023/11/9 09:51,今天討論報告主題
12304,B10403044,2023/12/7 21:59,今天討論工作分配
15918,B11201018,2023/9/13 04:24,今天在總圖討論室開會
15504,B11602125,2023/10/7 06:06,今天在星巴克開會
5638,B10702160,2023/10/19 06:21,今天討論工作分配
14607,R10948023,2023/12/6 18:31,今天晚上八點開會
13898,R09427033,2023/11/14 03:30,今天晚上八點開會
20009,R08123142,2023/10/31 21:24,今天晚上九點半開會
3906,B09303045,2023/9/23 10:27,今天在綜合討論室開會
15903,B10204047,2023/9/5 12:13,今天開會完成報告書
3995,B11101153,2023/10/24 14:24,今天討論實作方法
6687,B11100016,2023/10/14 18:02,今天晚上八點開會
11006,B12112033,2023/12/2 15:50,今天開會完成報告書
7276,B10901041,2023/10/28 20:22,今天晚上八點開會
13735,B10401014,2023/10/22 13:15,今天晚上九點半開會
5765,B10301211,2023/9/19 08:52,今天討論報告主題
492,B10202217,2023/11/2 03:21,今天開會完成報告書
4258,B11102125,2023/9/6 16:03,今天討論實驗結果
5147,B09507036,2023/11/27 12:24,今天晚上九點半開會
3581,B11403118,2023/9/4 22:19,今天晚上十點開會
16973,B08807023,2023/10/28 20:29,今天在星巴克開會
4195,D01945017,2023/10/26 03:50,今天晚上九點開會
8631,B10101217,2023/12/8 06:03,今天晚上九點開會
3684,B09705005,2023/9/17 05:20,今天在露易莎開會
17965,B10205033,2023/10/22 00:18,今天討論實驗結果
13891,R11251024,2023/11/3 09:52,今天晚上八點開會
3356,B08617054,2023/9/20 21:12,今天晚上十點開會
9335,B10702027,2023/11/6 15:27,今天討論實作方法
7286,B11701052,2023/10/18 08:12,今天晚上九點開會
6927,R10721066,2023/11/18 02:59,今天在星巴克開會
3647,B11402127,2023/12/4 09:26,今天討論工作分配
4811,R08124013,2023/11/27 11:56,今天晚上八點開會
16978,B10401072,2023/11/7 07:35,今天晚上八點半開會
11284,B08202217,2023/10/28 15:06,今天在系管一樓開會
20369,B09402055,2023/9/28 16:27,今天討論實驗結果
19079,B08701068,2023/9/26 02:03,今天在總圖討論室開會
16860,R11923042,2023/10/16 15:45,今天討論報告主題
4460,B11401037,2023/9/12 22:36,今天討論實作方法
6074,B11707028,2023/12/4 20:29,今天晚上九點半開會
3728,B11708015,2023/10/5 13:01,今天討論實作方法
17209,B08301056,2023/10/21 02:04,今天開會完成報告書
12444,B08601043,2023/12/1 04:06,今天討論工作分配
17492,B11901057,2023/12/8 06:33,今天討論工作分配
6039,B10A01212,2023/10/26 19:57,今天開會完成報告書
10721,B09902011,2023/11/18 01:48,今天討論報告主題
7402,B10901060,2023/10/4 17:50,今天在露易莎開會
1962,R11224017,2023/10/9 20:15,今天在總圖討論室開會
6913,R10522025,2023/9/30 03:07,今天晚上八點開會
14958,B10503116,2023/12/1 23:07,今天討論實作方法
8906,B11501204,2023/9/11 17:22,今天在星巴克開會
12300,B11107039,2023/11/19 19:23,今天晚上十點開會
1911,R11255036,2023/9/8 07:19,今天晚上八點開會
2859,B10301004,2023/11/3 11:07,今天在星巴克開會
21154,R11741015,2023/12/3 19:08,今天在星巴克開會
19937,B11611043,2023/10/8 16:37,今天在系管一樓開會
4916,B11H01061,2023/10/22 06:43,今天在露易莎開會
12218,B11203137,2023/10/17 09:17,今天在星巴克開會
17238,B09606033,2023/9/15 00:41,今天晚上八點半開會
17676,R10723020,2023/9/22 14:46,今天在露易莎開會
8891,B10102208,2023/12/2 00:34,今天晚上九點開會
8694,B09101018,2023/9/25 14:18,今天在露易莎開會
16436,B08A08312,2023/9/12 21:15,今天在露易莎開會
5716,B11501006,2023/10/13 03:34,今天晚上八點半開會
3056,B10602127,2023/9/26 06:47,今天晚上九點開會
2538,R11124016,2023/11/24 07:21,今天在露易莎開會
16818,R11521044,2023/10/8 13:53,今天在星巴克開會
6239,B11101041,2023/10/17 01:06,今天晚上十點開會
3582,B09108006,2023/9/20 22:02,今天討論報告主題
9727,B10605033,2023/10/13 02:55,今天在綜合討論室開會
1158,R10948118,2023/9/11 02:22,今天在系管一樓開會
6536,B11401056,2023/9/11 15:49,今天在露易莎開會
18586,B11904051,2023/9/15 03:38,今天晚上九點半開會
8400,B09501240,2023/11/22 18:55,今天在系管一樓開會
963,B11307036,2023/9/12 18:07,今天晚上十點開會
10232,B09405017,2023/9/18 11:17,今天晚上八點開會
11457,R11929026,2023/9/4 07:12,今天晚上九點開會
16498,B09700015,2023/11/7 09:35,今天晚上九點開會
11040,R11A22036,2023/11/22 19:26,今天討論工作分配
5583,B10705060,2023/9/15 08:16,今天晚上九點開會
11419,B11611045,2023/10/22 21:20,今天在系管一樓開會
11915,B10502056,2023/10/14 06:06,今天開會完成報告書
6728,R10528004,2023/9/21 08:33,今天在露易莎開會
3571,B11701216,2023/10/5 19:00,今天在星巴克開會
19206,B11202142,2023/11/27 01:11,今天晚上八點半開會
15620,R10721079,2023/12/9 14:09,今天討論實驗結果
16320,B10200027,2023/10/16 23:19,今天在綜合討論室開會
3041,D05942150,2023/10/5 15:44,今天討論實作方法
5665,B11701001,2023/11/7 04:42,今天開會完成報告書
16394,B09901217,2023/9/11 16:25,今天在綜合討論室開會
4180,B10403036,2023/9/19 20:25,今天在系管一樓開會
13304,B10705004,2023/12/9 12:35,今天討論工作分配
7819,B11401043,2023/9/26 17:50,今天在露易莎開會
3832,R11521079,2023/11/28 22:41,今天在系管一樓開會
8081,B09A04047,2023/12/7 20:42,今天開會完成報告書
6802,B11401006,2023/11/2 20:09,今天晚上九點半開會
1632,B10301004,2023/11/11 16:43,今天晚上九點半開會
267,B11503042,2023/9/11 07:45,今天晚上九點半開會
15312,B11401079,2023/9/15 16:00,今天在露易莎開會
21012,B10103038,2023/9/15 19:17,今天討論實驗結果
9511,B08808032,2023/11/13 07:57,今天討論報告主題
4966,B10405020,2023/11/16 20:01,今天在系管一樓開會
18695,B08703003,2023/12/1 16:02,今天在系管一樓開會
3218,R07222034,2023/9/14 02:09,今天在綜合討論室開會
17529,B11305009,2023/11/30 23:11,今天在露易莎開會
8534,B11201216,2023/9/21 11:28,今天在綜合討論室開會
21104,R11641056,2023/11/1 18:34,今天討論實作方法
12166,B09902070,2023/9/28 15:40,今天討論實驗結果
786,B11203045,2023/9/16 01:04,今天晚上八點半開會
7458,B10A02009,2023/11/16 13:28,今天晚上八點開會
19539,B10601150,2023/11/30 05:00,今天晚上九點半開會
9009,B11106033,2023/10/29 18:17,今天在露易莎開會
4977,R11941015,2023/9/22 15:08,今天在總圖討論室開會
6096,B10508032,2023/10/31 09:22,今天討論實驗結果
3477,R11622339,2023/10/25 04:23,今天晚上九點開會
4393,B10202034,2023/10/30 02:15,今天在露易莎開會
15469,B09503150,2023/12/4 07:55,今天晚上八點半開會
20724,B10704012,2023/11/7 05:15,今天在綜合討論室開會
6113,B09701068,2023/10/27 07:49,今天晚上八點開會
20324,B08603042,2023/11/9 09:51,今天晚上十點開會
15619,B10701102,2023/11/21 03:20,今天在系管一樓開會
12083,R11522025,2023/11/16 05:33,今天在露易莎開會
317,B11201024,2023/11/8 07:29,今天在系管一樓開會
12600,R11524012,2023/10/13 21:30,今天討論工作分配
9350,F07444070,2023/10/26 21:27,今天討論工作分配
18228,R10941060,2023/9/6 22:24,今天晚上九點半開會
13616,B09602010,2023/10/12 10:23,今天晚上十點開會
18030,R10943020,2023/11/3 03:18,今天晚上八點半開會
19672,B10406028,2023/11/12 03:25,今天晚上八點半開會
6058,R10524016,2023/12/6 19:27,今天討論工作分配
11256,B10306033,2023/10/30 12:41,今天晚上九點半開會
16445,B09904017,2023/10/23 01:58,今天討論實驗結果
15444,R10921239,2023/10/9 04:10,今天開會完成報告書
1449,B08902010,2023/9/5 02:28,今天開會完成報告書
2437,R10B42125,2023/9/28 11:23,今天晚上九點半開會
7911,B10A07028,2023/10/2 07:50,今天討論報告主題
17566,B11708056,2023/10/3 11:57,今天晚上九點半開會
5685,B11400016,2023/9/8 19:56,今天討論實作方法
17683,B08501017,2023/11/19 08:33,今天晚上九點半開會
8239,R11942339,2023/10/13 12:53,今天討論實作方法
2818,B11602039,2023/10/23 05:13,今天在星巴克開會
3043,B09504011,2023/11/12 20:27,今天討論工作分配
20850,R10727074,2023/10/7 22:48,今天晚上九點半開會
15711,B11107033,2023/11/7 20:14,今天討論工作分配
2493,R11224049,2023/12/4 11:04,今天晚上十點開會
19206,B11202142,2023/10/23 18:54,今天討論實驗結果
18348,R11520027,2023/10/30 23:43,今天在露易莎開會
10391,R10522039,2023/9/29 01:17,今天晚上九點開會
169,B10701020,2023/9/10 05:51,今天晚上八點開會
16103,B10403045,2023/10/16 12:40,今天討論實作方法
5573,R10721097,2023/9/5 13:42,今天討論工作分配
15241,R11944070,2023/10/12 15:03,今天晚上八點半開會
8822,B09A01040,2023/11/2 14:04,今天晚上八點半開會
17915,B10302039,2023/9/25 04:46,今天在綜合討論室開會
18119,R10142170,2023/10/21 16:35,今天晚上八點半開會
1246,B11102016,2023/10/16 08:03,今天討論實驗結果
10246,D03941003,2023/10/3 06:28,今天晚上八點開會
3426,D05942150,2023/11/17 02:56,今天討論報告主題
20082,B08801001,2023/12/9 18:54,今天在星巴克開會
3355,B11201070,2023/12/9 00:06,今天晚上九點開會
17427,B09A02150,2023/9/9 20:20,今天討論報告主題
618,B10201010,2023/9/27 22:28,今天晚上八點半開會
1139,B09702170,2023/11/1 14:30,今天在星巴克開會
13632,R10148015,2023/10/16 05:06,今天討論實驗結果
4317,B11611001,2023/9/9 10:27,今天討論實驗結果
19563,B10903082,2023/12/10 07:22,今天討論報告主題
7814,B09905004,2023/11/9 16:33,今天在總圖討論室開會
21211,R07221102,2023/11/5 20:31,今天在露易莎開會
20076,B11401029,2023/12/2 20:26,今天討論報告主題
5274,B11701079,2023/9/5 15:13,今天在系管一樓開會
18443,B11702159,2023/12/2 15:54,今天在系管一樓開會
11735,B11908037,2023/10/16 15:42,今天在露易莎開會
8140,B10601A01,2023/9/20 03:04,今天晚上八點開會
12748,B08208024,2023/9/4 23:03,今天在總圖討論室開會
9307,B07203023,2023/11/16 19:10,今天晚上九點半開會
2562,B11102037,2023/12/3 23:57,今天晚上九點半開會
1918,R11624034,2023/12/7 21:44,今天開會完成報告書
16919,B08102004,2023/11/6 07:38,今天晚上八點半開會
2803,B09303039,2023/11/25 21:42,今天晚上八點開會
14671,B11901037,2023/11/25 11:14,今天討論實驗結果
20743,B11618024,2023/9/11 13:19,今天討論實驗結果
1279,B08203068,2023/10/15 23:05,今天晚上九點半開會
1072,B06405014,2023/9/16 23:13,今天在露易莎開會
8989,B11602021,2023/10/16 10:10,今天討論報告主題
11870,R11127A03,2023/11/18 03:08,今天晚上九點開會
19210,B09903050,2023/11/28 13:10,今天晚上八點開會
1299,B10702006,2023/12/6 01:43,今天晚上八點開會
14194,B08901011,2023/11/23 07:09,今天討論實驗結果
9791,B11607020,2023/11/22 18:29,今天討論實作方法
4446,D03947039,2023/12/10 11:01,今天討論實驗結果
637,R11623077,2023/10/3 16:21,今天討論實作方法
8596,B10202045,2023/10/12 18:34,今天討論工作分配
12475,D10621101,2023/11/20 16:59,今天晚上八點開會
17451,B08A02160,2023/11/26 11:32,今天在露易莎開會
2087,B06405024,2023/10/23 18:23,今天晚上十點開會
19591,B11101048,2023/11/15 19:35,今天在露易莎開會
1729,B09907A03,2023/11/6 08:08,今天討論實驗結果
18414,B11606044,2023/11/3 12:24,今天開會完成報告書
12236,B09A02087,2023/10/19 07:39,今天晚上十點開會
8090,B10509080,2023/10/20 16:04,今天開會完成報告書
14330,B10802717,2023/9/17 10:47,今天晚上八點半開會
19923,B08106033,2023/11/18 14:17,今天在總圖討論室開會
14063,R11525003,2023/10/29 16:31,今天在總圖討論室開會
20489,B11203008,2023/9/16 16:26,今天在星巴克開會
20855,R11254009,2023/9/15 01:26,今天討論實驗結果
1443,B08103022,2023/10/8 12:46,今天討論實作方法
6010,F09441046,2023/11/3 07:02,今天晚上八點半開會
14694,B08611070,2023/12/2 07:34,今天討論實作方法
9292,R10146035,2023/11/28 18:36,今天在總圖討論室開會
951,B10604004,2023/11/24 15:54,今天在總圖討論室開會
17006,B11604013,2023/12/1 15:15,今天晚上八點半開會
11601,B11501026,2023/10/17 20:57,今天晚上九點半開會
17092,B10304070,2023/11/27 17:42,今天討論實作方法
1804,R11645032,2023/11/26 11:43,今天在總圖討論室開會
16172,B11611101,2023/10/20 08:51,今天在系管一樓開會
14864,B08A02070,2023/11/29 00:03,今天討論實驗結果
9823,B08612102,2023/11/9 11:23,今天討論實作方法
3464,B11304204,2023/10/13 22:30,今天晚上八點開會
542,B09901011,2023/10/9 15:29,今天在系管一樓開會
14540,B08807036,2023/9/20 20:55,今天開會完成報告書
2493,B06401120,2023/10/25 20:28,今天討論實驗結果
11088,R11125055,2023/9/11 07:05,今天討論工作分配
16213,B09707021,2023/11/4 13:58,今天在星巴克開會
15509,B11301075,2023/10/16 07:56,今天晚上八點開會
20959,B10702119,2023/9/23 19:26,今天討論報告主題
11568,B11404004,2023/11/12 13:46,今天討論報告主題
10648,B10202021,2023/9/25 03:39,今天開會完成報告書
493,R11621029,2023/9/25 19:47,今天在總圖討論室開會
8572,B09102125,2023/10/15 06:05,今天晚上九點半開會
18908,B08501216,2023/12/2 15:15,今天在露易莎開會
18072,B09403008,2023/10/16 08:20,今天在總圖討論室開會
20698,B08201049,2023/9/22 08:42,今天在綜合討論室開會
14080,R10542039,2023/11/3 17:50,今天晚上八點半開會
16122,D03942217,2023/10/19 00:50,今天在系管一樓開會
11732,R10922125,2023/9/20 17:56,今天在露易莎開會
124,B11H01061,2023/10/15 11:13,今天晚上九點半開會
10794,B10407033,2023/10/31 13:58,今天討論實作方法
1609,B09501240,2023/11/17 11:27,今天討論報告主題
15188,R11621153,2023/10/10 00:12,今天晚上八點開會
762,R11123023,2023/10/9 14:48,今天在系管一樓開會
18874,B08201111,2023/10/11 02:33,今天在星巴克開會
10035,B11H03018,2023/9/16 04:12,今天晚上九點半開會
12686,B09A05022,2023/11/30 04:15,今天在綜合討論室開會
7098,R09947023,2023/11/29 13:17,今天在綜合討論室開會
20539,R11A25036,2023/12/4 02:43,今天在星巴克開會
2072,B09701109,2023/10/19 13:34,今天晚上九點開會
17752,B11902037,2023/9/8 19:01,今天晚上八點半開會
5726,B09A03077,2023/11/8 10:12,今天晚上九點半開會
5680,R11641126,2023/9/18 06:20,今天開會完成報告書
7227,R10721097,2023/12/11 14:28,今天在露易莎開會
1209,R10945022,2023/12/4 12:24,今天在露易莎開會
12931,R10145016,2023/12/2 09:38,今天討論報告主題
8420,R11522002,2023/10/17 03:55,今天在露易莎開會
1095,B09405026,2023/9/26 23:44,今天晚上八點開會
3414,B09501041,2023/12/3 03:36,今天晚上九點開會
5643,B11611029,2023/11/25 09:48,今天在系管一樓開會
11230,B11618015,2023/9/27 09:23,今天討論工作分配
18067,B10602039,2023/9/9 03:14,今天晚上八點半開會
13284,B11B02717,2023/9/7 14:50,今天晚上八點開會
15292,B09403042,2023/9/28 04:33,今天討論實驗結果
8951,B11809015,2023/11/1 17:04,今天在綜合討論室開會
4515,R09624204,2023/9/10 09:25,今天討論實作方法
13847,B11705055,2023/10/27 17:45,今天晚上八點開會
5255,B10201045,2023/9/24 11:12,今天晚上八點半開會
11606,B09301150,2023/9/20 23:40,今天在露易莎開會
5463,B09103020,2023/10/4 08:21,今天開會完成報告書
3757,B08A05034,2023/11/30 04:11,今天晚上八點開會
132,B10401075,2023/10/6 15:42,今天晚上九點半開會
11924,R11628023,2023/11/29 04:24,今天討論實驗結果
19293,B09A02127,2023/11/7 18:23,今天開會完成報告書
6531,B09509015,2023/11/17 05:04,今天討論報告主題
8904,B11612036,2023/9/30 11:02,今天在系管一樓開會
12016,B08314081,2023/9/21 03:52,今天晚上九點開會
19369,B09405004,2023/12/12 05:41,今天晚上十點開會
12266,B09102010,2023/11/29 20:49,今天晚上十點開會
4355,B09402055,2023/10/11 22:31,今天討論工作分配
8191,B11407027,2023/11/21 05:45,今天在星巴克開會
3966,B10901041,2023/9/23 22:48,今天在總圖討論室開會
13324,B09108312,2023/10/22 05:10,今天在綜合討論室開會
20606,B10602039,2023/11/10 10:55,今天討論工作分配
17646,B10604016,2023/10/4 22:47,今天討論實作方法
1918,R11624034,2023/10/27 17:38,今天在總圖討論室開會
2396,B08302056,2023/11/13 07:25,今天在綜合討論室開會
8243,D05945004,2023/11/18 20:29,今天在露易莎開會
11841,B11H03026,2023/9/6 07:17,今天在系管一樓開會
2212,B11302054,2023/12/8 00:10,今天晚上八點半開會
10573,B10305020,2023/11/27 11:39,今天開會完成報告書
16572,B10301072,2023/10/11 10:36,今天在總圖討論室開會
14903,B09506033,2023/10/17 08:10,今天晚上八點開會
766,B07A03028,2023/9/12 15:50,今天晚上八點半開會
19015,B11404081,2023/10/19 03:21,今天討論實驗結果
5902,B07A01109,2023/12/8 19:03,今天晚上九點半開會
7479,B11101004,2023/10/29 17:38,今天討論實作方法
5145,B11H02039,2023/9/6 00:23,今天晚上十點開會
16527,B09101066,2023/11/11 16:56,今天晚上九點開會
6971,B11601020,2023/11/2 18:12,今天晚上八點開會
230,B11604012,2023/10/24 21:45,今天在星巴克開會
20385,R11H41014,2023/10/11 03:14,今天在系管一樓開會
3875,B09501240,2023/10/14 04:37,今天開會完成報告書
3445,B09401001,2023/11/18 01:26,今天討論實作方法
14040,B10503018,2023/10/1 16:12,今天在綜合討論室開會
5286,R11252087,2023/9/6 23:41,今天討論工作分配
3011,B10701808,2023/9/9 02:34,今天討論工作分配
1693,B11102100,2023/10/31 14:53,今天開會完成報告書
6571,F08922024,2023/10/28 14:30,今天晚上十點開會
16281,B10104204,2023/9/22 03:51,今天在露易莎開會
15509,B11301075,2023/9/16 16:32,今天在總圖討論室開會
19847,B10500012,2023/10/1 01:35,今天晚上十點開會
530,B08102004,2023/11/23 19:59,今天討論實驗結果
2568,B08101330,2023/11/29 00:42,今天開會完成報告書
4417,B10707074,2023/9/27 05:38,今天晚上八點半開會
13516,B11B03022,2023/10/21 01:54,今天討論報告主題
713,B09303020,2023/11/10 23:00,今天在綜合討論室開會
6830,B10A05014,2023/11/23 00:39,今天開會完成報告書
20643,B11902100,2023/10/17 01:29,今天在綜合討論室開會
11541,R11A21098,2023/12/6 05:42,今天晚上九點開會
15267,B11401001,2023/10/11 06:24,今天開會完成報告書
940,B11617044,2023/11/5 08:23,今天在總圖討論室開會
13272,B09601046,2023/12/2 02:10,今天討論實作方法
16771,B11105036,2023/11/30 19:09,今天討論實作方法
12857,R11327057,2023/10/7 16:28,今天討論報告主題
12432,B11701060,2023/11/26 02:26,今天在綜合討論室開會
2183,R11942022,2023/9/17 13:47,今天在系管一樓開會
11249,B10B02029,2023/11/13 23:19,今天在系管一樓開會
5420,B09101079,2023/9/19 18:22,今天在星巴克開會
2656,B11901010,2023/11/17 14:20,今天晚上九點開會
26,B11617020,2023/10/23 03:55,今天在露易莎開會
21229,B10A04034,2023/11/10 07:03,今天討論實作方法
19092,B11101046,2023/10/26 19:31,今天討論工作分配
290,B09401102,2023/10/14 00:50,今天在系管一樓開會
10332,B09102002,2023/10/17 15:08,今天在系管一樓開會
1576,B10206023,2023/10/23 04:21,今天晚上八點半開會
16394,B09901217,2023/11/3 22:15,今天晚上八點開會
8463,B09A02824,2023/10/5 18:17,今天晚上九點半開會
15229,R11521102,2023/11/12 22:29,今天晚上八點開會
16187,B10402027,2023/9/19 18:15,今天開會完成報告書
8639,B10A03057,2023/9/15 12:31,今天在綜合討論室開會
17579,R08123142,2023/9/15 18:30,今天晚上九點半開會
17227,R09628015,2023/12/7 07:30,今天在露易莎開會
18192,B09A03076,2023/10/25 11:40,今天晚上九點半開會
19456,B11601041,2023/11/24 06:15,今天在總圖討論室開會
16223,B08202043,2023/12/4 19:17,今天晚上八點半開會
5944,B11601079,2023/10/16 12:39,今天討論實驗結果
7377,R11221108,2023/9/21 09:29,今天在星巴克開會
12087,B09902054,2023/9/20 10:09,今天在星巴克開會
15723,B10201010,2023/12/11 12:05,今天晚上八點開會
4970,B11401365,2023/10/16 05:56,今天晚上十點開會
15639,R11944013,2023/10/7 20:54,今天晚上九點開會
17592,B10501015,2023/9/13 02:15,今天討論實驗結果
11345,B11401808,2023/11/7 20:50,今天在系管一樓開會
12742,B11B05036,2023/10/2 12:11,今天在露易莎開會
7220,B09101004,2023/9/16 22:04,今天晚上九點半開會
5963,B10208053,2023/9/8 18:19,今天在綜合討論室開會
3006,R11641003,2023/9/22 16:39,今天晚上九點開會
21051,B10306033,2023/11/6 00:00,今天討論報告主題
5613,B09701048,2023/9/13 12:59,今天在星巴克開會
2739,B09613003,2023/10/19 04:37,今天在星巴克開會
16429,B11311068,2023/9/19 05:13,今天討論報告主題
1287,B11102208,2023/10/6 00:01,今天晚上八點半開會
18684,R10142039,2023/9/26 17:12,今天討論實作方法
8473,B10801004,2023/10/9 09:34,今天在露易莎開會
1377,B10504009,2023/11/10 13:49,今天討論報告主題
15308,B10807210,2023/9/9 22:34,今天晚上九點半開會
4797,B06401024,2023/11/29 17:15,今天討論報告主題
